score,layer,neuron,gap,source_mean,control_mean
2.0703590333744515,3,156,2.0703590333744515,2.010789632797241,-0.05956940057721011
1.930555031370806,2,338,1.930555031370806,1.8432379961013794,-0.08731703526942668
1.71795016359827,3,5,1.71795016359827,1.6826175451278687,-0.03533261847040133
1.6715272500234668,2,218,1.6715272500234668,1.5796655416488647,-0.091861708374602
1.1879510464173715,3,347,1.1879510464173715,1.1593858003616333,-0.02856524605573821
1.1556907748251455,2,124,1.1556907748251455,1.1031749248504639,-0.05251584997468161
1.054926554358041,2,425,1.054926554358041,0.9937595129013062,-0.06116704145673486
0.9884922292434088,2,237,0.9884922292434088,0.9349878430366516,-0.053504386206757265
0.9561945635625454,2,101,0.9561945635625454,0.880200207233429,-0.07599435632911646
0.8946100867740819,3,34,0.8946100867740819,0.8700268864631653,-0.02458320031091667
0.8696023013315901,1,425,0.8696023013315901,0.7977999448776245,-0.07180235645396565
0.8003248714122548,3,238,0.8003248714122548,0.7499998807907104,-0.050324990621544365
0.788751177427725,1,113,0.788751177427725,0.7588753700256348,-0.029875807402090265
0.7825351147197536,2,128,0.7825351147197536,0.6916778087615967,-0.09085730595815691
0.7678262731051743,2,290,0.7678262731051743,0.6890352964401245,-0.07879097666504976
0.7489937193310048,1,284,0.7489937193310048,0.6631107926368713,-0.08588292669413339
0.7129519751555266,2,15,0.7129519751555266,0.6737254858016968,-0.039226489353829774
0.7101483878743182,2,245,0.7101483878743182,0.6451565623283386,-0.06499182554597964
0.6781055978197083,3,71,0.6781055978197083,0.6614406704902649,-0.016664927329443354
0.6625471149190064,3,152,0.6625471149190064,0.5879679918289185,-0.07457912309008795
0.6332671484430934,2,223,0.6332671484430934,0.5975908041000366,-0.03567634434305681
0.6230178839039565,1,226,0.6230178839039565,0.5741655230522156,-0.048852360851740946
0.6209354401329445,0,334,0.6209354401329445,0.6220061779022217,0.0010707377692770882
0.615880983580206,3,448,0.615880983580206,0.575659453868866,-0.040221529711340034
0.6133041087736288,1,251,0.6133041087736288,0.5722355246543884,-0.04106858411924042
0.6111346076144483,2,350,0.6111346076144483,0.5559800267219543,-0.05515458089249397
0.5851728296883288,2,337,0.5851728296883288,0.5380578637123108,-0.047114965976018025
0.5799438673132155,2,441,0.5799438673132155,0.5461493730545044,-0.03379449425871109
0.5713741910372302,1,391,0.5713741910372302,0.5184032320976257,-0.052970958939604414
0.5676196836615175,2,353,0.5676196836615175,0.4677346646785736,-0.09988501898294387
0.5650792828738755,3,170,0.5650792828738755,0.5296976566314697,-0.03538162624240577
0.5438942563830701,2,403,0.5438942563830701,0.4855799973011017,-0.05831425908196842
0.521163811277973,3,463,0.521163811277973,0.46677935123443604,-0.05438446004353697
0.5054441502419852,2,224,0.5054441502419852,0.422017902135849,-0.08342624810613619
0.48702933290615025,2,68,0.48702933290615025,0.4190731942653656,-0.06795613864078467
0.48372895169128705,1,169,0.48372895169128705,0.4566936492919922,-0.02703530239929483
0.47969224913945996,1,89,0.47969224913945996,0.41974911093711853,-0.05994313820234142
0.4791309575710422,2,28,0.4791309575710422,0.42059919238090515,-0.05853176519013702
0.47902442018556796,3,425,0.47902442018556796,0.43959224224090576,-0.039432177944662174
0.47049389156381516,0,4,0.47049389156381516,0.48035651445388794,0.009862622890072779
0.47013130681216364,2,510,0.47013130681216364,0.4273596405982971,-0.042771666213866494
0.46527024952839846,1,346,0.46527024952839846,0.43748313188552856,-0.02778711764286987
