score,layer,neuron,gap,source_mean,control_mean
1.8327144373181266,2,338,1.8327144373181266,1.7497261762619019,-0.08298826105622477
1.717313149309647,3,156,1.717313149309647,1.653693437576294,-0.06361971173335307
1.6658974546644199,3,5,1.6658974546644199,1.6291967630386353,-0.036700691625784675
1.4753893058877605,2,218,1.4753893058877605,1.3894623517990112,-0.08592695408874919
1.1043522266116157,2,124,1.1043522266116157,1.0536478757858276,-0.05070435082578811
1.0903505637307973,2,425,1.0903505637307973,1.0437835454940796,-0.046567018236717626
1.0288880221432062,2,237,1.0288880221432062,0.9817367196083069,-0.04715130253489921
0.914285476455991,2,101,0.914285476455991,0.8537935614585876,-0.06049191499740339
0.9060299972936956,3,34,0.9060299972936956,0.8825415968894958,-0.02348840040419971
0.8815482993254145,1,425,0.8815482993254145,0.8230100274085999,-0.058538271916814585
0.828370374534057,1,284,0.828370374534057,0.750932514667511,-0.07743785986654603
0.7989513162529573,1,113,0.7989513162529573,0.7935213446617126,-0.005429971591244729
0.7703955140007106,3,347,0.7703955140007106,0.745924711227417,-0.024470802773293606
0.7679064691125674,3,238,0.7679064691125674,0.7185658812522888,-0.049340587860278666
0.7591752980774245,2,350,0.7591752980774245,0.7025123238563538,-0.05666297422107071
0.7426608156011473,3,152,0.7426608156011473,0.6633394956588745,-0.0793213199422728
0.7211295052865316,1,226,0.7211295052865316,0.6744206547737122,-0.046708850512819505
0.6531887031688285,0,334,0.6531887031688285,0.65348219871521,0.000293495546381428
0.6453217244350333,3,170,0.6453217244350333,0.616847813129425,-0.028473911305608262
0.6409290570201133,2,441,0.6409290570201133,0.5898001194000244,-0.05112893762008883
0.6323693607040839,1,391,0.6323693607040839,0.5924767255783081,-0.03989263512577575
0.6084061090600399,2,290,0.6084061090600399,0.5523321032524109,-0.05607400580762899
0.5993861924723188,1,251,0.5993861924723188,0.5827362537384033,-0.01664993873391548
0.5988216461870085,2,15,0.5988216461870085,0.5705812573432922,-0.028240388843716293
0.59053426850024,3,425,0.59053426850024,0.5369061827659607,-0.053628085734279386
0.577739444855772,2,245,0.577739444855772,0.53158038854599,-0.046159056309781975
0.5578986546973965,3,71,0.5578986546973965,0.5297743678092957,-0.02812428688810087
0.5359950296590469,3,359,0.5359950296590469,0.5110083222389221,-0.02498670742012481
0.5324317900261822,2,223,0.5324317900261822,0.5025777220726013,-0.029854067953580934
0.5321126251176854,3,508,0.5321126251176854,0.5141318440437317,-0.01798078107395369
0.5312543377914947,2,128,0.5312543377914947,0.4552287459373474,-0.07602559185414731
0.4931157660945846,1,239,0.4931157660945846,0.4684717655181885,-0.02464400057639611
0.4917502601606926,1,249,0.4917502601606926,0.5086554288864136,0.016905168725720954
0.47931284158399995,2,138,0.47931284158399995,0.4151769280433655,-0.06413591354063448
0.4759807219812917,3,448,0.4759807219812917,0.43268951773643494,-0.04329120424485678
0.4740423791759821,2,440,0.4740423791759821,0.4186437129974365,-0.05539866617854554
0.46318207868123756,2,50,0.46318207868123756,0.42786896228790283,-0.035313116393334745
0.45116510045807706,0,375,0.45116510045807706,0.4838302731513977,0.03266517269332065
0.4473174062776931,2,337,0.4473174062776931,0.39243605732917786,-0.054881348948515284
0.4453846144663682,2,403,0.4453846144663682,0.37400296330451965,-0.07138165116184851
0.4444180376733847,2,98,0.4444180376733847,0.41266557574272156,-0.03175246193066316
0.44100398967850124,2,224,0.44100398967850124,0.35987579822540283,-0.08112819145309842
0.43980418715492714,0,449,0.43980418715492714,0.4280228316783905,-0.011781355476536661
0.43730320288626334,1,169,0.43730320288626334,0.4259836971759796,-0.011319505710283735
0.4343987836762969,0,475,0.4343987836762969,0.3848939836025238,-0.04950480007377314
0.43226019070317434,2,84,0.43226019070317434,0.3717685043811798,-0.060491686321994524
0.4292030003987028,3,77,0.4292030003987028,0.3793942928314209,-0.04980870756728191
0.42729620101259996,1,346,0.42729620101259996,0.42688605189323425,-0.00041014911936569236
0.42036067358807344,0,4,0.42036067358807344,0.4318006634712219,0.011439989883148465
0.4115923199434591,1,89,0.4115923199434591,0.35554227232933044,-0.05605004761412863
0.40632353195499515,2,28,0.40632353195499515,0.3690197765827179,-0.03730375537227725
0.40552046299535405,1,168,0.40552046299535405,0.3525856137275696,-0.05293484926778449
0.3994673644104034,3,391,0.3994673644104034,0.3495818078517914,-0.04988555655861203
0.39001873580903235,3,419,0.39001873580903235,0.31225427985191345,-0.07776445595711887
0.3868519552657211,1,468,0.3868519552657211,0.3922075629234314,0.005355607657710299
0.3823686572562094,1,245,0.3823686572562094,0.3377353549003601,-0.04463330235584929
0.3732805979602539,3,463,0.3732805979602539,0.3313055634498596,-0.04197503451039431
0.37015533758254066,2,353,0.37015533758254066,0.2753242254257202,-0.09483111215682045
0.3610712496806787,2,482,0.3610712496806787,0.35363566875457764,-0.007435580926101096
