score,layer,neuron,gap,source_mean,control_mean
2.606831331216252,2,338,2.606831331216252,2.4950039386749268,-0.1118273925413251
2.3730769735758837,3,156,2.3730769735758837,2.2997212409973145,-0.07335573257856931
2.050438048409472,2,218,2.050438048409472,1.9471622705459595,-0.10327577786351291
1.9458714251321783,3,5,1.9458714251321783,1.8969694375991821,-0.04890198753299612
1.7161522244670746,2,124,1.7161522244670746,1.648102879524231,-0.06804934494284358
1.5807550852798862,3,347,1.5807550852798862,1.5173771381378174,-0.06337794714206876
1.079564723592392,2,101,1.079564723592392,0.9965443015098572,-0.08302042208253485
0.9534962766199946,2,425,0.9534962766199946,0.8937174677848816,-0.05977880883511295
0.9525830397256813,2,237,0.9525830397256813,0.894687831401825,-0.057895208323856306
0.9071074231878979,3,497,0.9071074231878979,0.8486819863319397,-0.05842543685595827
0.899682311455777,1,425,0.899682311455777,0.825583279132843,-0.07409903232293402
0.8875902862906572,2,290,0.8875902862906572,0.7973794937133789,-0.0902107925772783
0.825214686385332,2,68,0.825214686385332,0.7635705471038818,-0.06164413928145024
0.8208884035139196,2,128,0.8208884035139196,0.7400675415992737,-0.08082086191464585
0.7817336596288386,1,113,0.7817336596288386,0.7370852828025818,-0.044648376826256754
0.7787426286882713,1,284,0.7787426286882713,0.6968100070953369,-0.08193262159293435
0.7639067585243512,3,6,0.7639067585243512,0.7165010571479797,-0.047405701376371415
0.7249604308034537,2,245,0.7249604308034537,0.6563436985015869,-0.06861673230186686
0.7184766398990902,2,15,0.7184766398990902,0.6494743824005127,-0.06900225749857747
0.7113958029245407,2,353,0.7113958029245407,0.6184279918670654,-0.0929678110574753
0.707912230426315,3,463,0.707912230426315,0.667978048324585,-0.03993418210173004
0.6867981517211903,2,350,0.6867981517211903,0.6288037896156311,-0.05799436210555918
0.6783231952112152,2,337,0.6783231952112152,0.6225495934486389,-0.055773601762576244
0.6775827308173753,3,34,0.6775827308173753,0.6485681533813477,-0.029014577436027627
0.6710738839570857,2,223,0.6710738839570857,0.6277920007705688,-0.04328188318651683
0.6504298989157393,2,403,0.6504298989157393,0.5762202143669128,-0.07420968454882654
0.6270799776534621,2,244,0.6270799776534621,0.5493108630180359,-0.07776911463542621
0.5811421631278638,3,420,0.5811421631278638,0.5220913887023926,-0.059050774425471235
0.5777805175418353,2,441,0.5777805175418353,0.5435855984687805,-0.034194919073054796
0.5668940001855697,0,334,0.5668940001855697,0.5644047856330872,-0.002489214552482517
0.5612832060539085,1,89,0.5612832060539085,0.48858848214149475,-0.07269472391241374
0.5386721979202663,3,238,0.5386721979202663,0.49450236558914185,-0.0441698323311245
0.535080711663134,3,448,0.535080711663134,0.5145495533943176,-0.020531158268816404
0.5305996570228474,2,99,0.5305996570228474,0.4820418357849121,-0.0485578212379353
0.5296951526180774,2,50,0.5296951526180774,0.4678559899330139,-0.06183916268506353
0.5249273758033772,2,138,0.5249273758033772,0.44787725806236267,-0.0770501177410146
0.5177846970737447,3,152,0.5177846970737447,0.425131231546402,-0.09265346552734273
0.5148786950815517,3,71,0.5148786950815517,0.48848411440849304,-0.026394580673058686
