score,layer,neuron,gap,source_mean,control_mean
1.8869346317398181,2,338,1.8869346317398181,1.8283876180648804,-0.05854701367493785
1.439655522165779,3,156,1.439655522165779,1.4286938905715942,-0.010961631594184838
1.3404898713100761,2,218,1.3404898713100761,1.2932419776916504,-0.047247893618425796
1.1608376286957427,2,425,1.1608376286957427,1.1382204294204712,-0.022617199275271543
1.1557196037278676,3,5,1.1557196037278676,1.12321937084198,-0.032500232885887576
1.0600945153824486,2,124,1.0600945153824486,1.0160529613494873,-0.04404155403296131
1.0146916054058814,2,237,1.0146916054058814,0.9991406798362732,-0.015550925569608149
1.0107630575191833,1,284,1.0107630575191833,0.9530102610588074,-0.057752796460375996
0.9503863374645126,2,101,0.9503863374645126,0.9235569834709167,-0.026829353993595827
0.9039577641973822,1,425,0.9039577641973822,0.8634928464889526,-0.04046491770842949
0.863858520808423,3,152,0.863858520808423,0.8049419522285461,-0.05891656857987683
0.7949298358487613,1,226,0.7949298358487613,0.7670043706893921,-0.027925465159369212
0.793342697850473,2,290,0.793342697850473,0.7775661945343018,-0.015776503316171222
0.7319953020342131,2,15,0.7319953020342131,0.74298095703125,0.010985654997036805
0.7016239750504467,1,113,0.7016239750504467,0.6811404228210449,-0.02048355222940174
0.690205996915434,2,350,0.690205996915434,0.6523581147193909,-0.03784788219604315
0.6728049132231037,0,334,0.6728049132231037,0.667266309261322,-0.0055386039617816235
0.6474573832242301,2,441,0.6474573832242301,0.622665524482727,-0.02479185874150298
0.6154849790023778,3,34,0.6154849790023778,0.6431372165679932,0.027652237565615388
0.604757949241987,3,391,0.604757949241987,0.5831382274627686,-0.02161972177921846
0.5927831300696818,3,238,0.5927831300696818,0.5470358729362488,-0.045747257133433014
0.5702594659081532,1,391,0.5702594659081532,0.5648574829101562,-0.005401982997996978
0.561312057440868,3,170,0.561312057440868,0.5576519966125488,-0.00366006082831912
0.5603766358264571,2,403,0.5603766358264571,0.5245858430862427,-0.035790792740214454
0.5511839039126213,1,169,0.5511839039126213,0.5494722723960876,-0.0017116315165336834
0.5070726136613154,2,223,0.5070726136613154,0.5437840819358826,0.03671146827456722
0.47910368505193884,3,4,0.47910368505193884,0.4268288016319275,-0.05227488342001135
0.47695905558727614,3,448,0.47695905558727614,0.44076281785964966,-0.03619623772762651
0.4751818988535883,1,193,0.4751818988535883,0.41345757246017456,-0.061724326393413714
0.449066023196235,1,346,0.449066023196235,0.48710131645202637,0.03803529325579138
0.44601263408317415,1,251,0.44601263408317415,0.44224241375923157,-0.0037702203239425936
0.44593043161763174,1,249,0.44593043161763174,0.48420605063438416,0.038275619016752395
0.43998386378921384,3,359,0.43998386378921384,0.42035844922065735,-0.019625414568556498
0.4371053268170961,2,197,0.4371053268170961,0.4334363043308258,-0.0036690224862702624
0.4305016434307748,1,336,0.4305016434307748,0.4482269883155823,0.017725344884807474
0.4295849737070827,2,224,0.4295849737070827,0.3725653886795044,-0.05701958502757834
0.4256792914834898,3,425,0.4256792914834898,0.42569947242736816,2.0180943878321524e-05
0.42352437900058704,0,475,0.42352437900058704,0.3800378143787384,-0.04348656462184861
0.4232503738298353,0,449,0.4232503738298353,0.42145806550979614,-0.0017923083200391847
0.42184807570533045,2,98,0.42184807570533045,0.4424660801887512,0.020618004483420743
0.42072178333524,3,463,0.42072178333524,0.379094660282135,-0.041627123053105015
0.4185259572549552,2,482,0.4185259572549552,0.45528316497802734,0.03675720772307213
0.4159514946797402,2,318,0.4159514946797402,0.39520785212516785,-0.02074364255457235
0.39778909357035086,3,419,0.39778909357035086,0.3337599039077759,-0.06402918966257497
0.3900760695730705,0,419,0.3900760695730705,0.330649197101593,-0.059426872471477495
0.3886471066238713,3,508,0.3886471066238713,0.3870532810688019,-0.0015938255550694285
0.3860721001366149,1,239,0.3860721001366149,0.38034388422966003,-0.005728215906954873
0.3813029898587396,0,375,0.3813029898587396,0.4237680435180664,0.0424650536593268
0.3811541976041805,2,245,0.3811541976041805,0.35303357243537903,-0.02812062516880147
0.37732543398622687,2,334,0.37732543398622687,0.39847031235694885,0.021144878370722004
0.3745751756938379,1,269,0.3745751756938379,0.43455827236175537,0.05998309666791743
0.372082017192625,1,168,0.372082017192625,0.320447713136673,-0.05163430405595204
0.3660987108069371,0,458,0.3660987108069371,0.3298293650150299,-0.03626934579190721
0.36475789287004534,3,382,0.36475789287004534,0.3621685802936554,-0.002589312576389945
0.3619320295161005,0,52,0.3619320295161005,0.37204527854919434,0.010113249033093828
0.35944195383996685,2,510,0.35944195383996685,0.3156281113624573,-0.04381384247750956
0.3572785246786462,1,342,0.3572785246786462,0.34488117694854736,-0.012397347730098802
0.35577869782921434,1,245,0.35577869782921434,0.3468881845474243,-0.008890513281790014
0.3555280846749152,2,440,0.3555280846749152,0.33571672439575195,-0.019811360279163272
0.34977889382525085,2,358,0.34977889382525085,0.3092368543148041,-0.040542039510446784
0.3481723496139337,3,46,0.3481723496139337,0.324790894985199,-0.02338145462873471
0.3466642268391592,3,450,0.3466642268391592,0.3082241117954254,-0.03844011504373379
0.34613013601507914,3,221,0.34613013601507914,0.31251803040504456,-0.033612105610034596
0.3425407104767568,2,353,0.3425407104767568,0.2668416202068329,-0.07569909026992395
0.34246307786733643,2,280,0.34246307786733643,0.35790568590164185,0.015442608034305399
0.3360890755870181,0,248,0.3360890755870181,0.29885441064834595,-0.03723466493867216
0.33039104191705515,3,71,0.33039104191705515,0.31502529978752136,-0.015365742129533802
0.3288371233002281,2,78,0.3288371233002281,0.30129775404930115,-0.02753936925092695
0.32828114410676107,2,385,0.32828114410676107,0.31730788946151733,-0.010973254645243737
0.3247992655766866,3,347,0.3247992655766866,0.2991039454936981,-0.025695320082988485
0.32354814207757243,2,158,0.32354814207757243,0.3085181415081024,-0.015030000569470035
0.3212946863608398,1,190,0.3212946863608398,0.2789720892906189,-0.042322597070220916
0.3202970512669457,0,46,0.3202970512669457,0.32996973395347595,0.009672682686530243
0.31771599511402077,1,468,0.31771599511402077,0.36063653230667114,0.042920537192650376
0.31721238647686223,3,58,0.31721238647686223,0.2872726023197174,-0.02993978415714484
0.31480119799838135,0,397,0.31480119799838135,0.2564774751663208,-0.05832372283206058
0.31442757269667876,0,190,0.31442757269667876,0.2504371106624603,-0.06399046203421842
0.3109679127008045,1,224,0.3109679127008045,0.2979942858219147,-0.012973626878889817
0.3104678712394328,3,325,0.3104678712394328,0.30185025930404663,-0.008617611935386191
0.3082232524142679,0,278,0.3082232524142679,0.286770224571228,-0.021453027843039894
0.3059344814058257,0,4,0.3059344814058257,0.3247246742248535,0.018790192819027846
0.30487882186676163,1,401,0.30487882186676163,0.24153384566307068,-0.06334497620369092
0.3031905204795563,2,182,0.3031905204795563,0.27988535165786743,-0.02330516882168885
0.3025137296647595,2,108,0.3025137296647595,0.30723339319229126,0.004719663527531785
0.3018129091643024,3,69,0.3018129091643024,0.25211501121520996,-0.04969789794909244
0.29882312404506745,2,418,0.29882312404506745,0.32299700379371643,0.02417387974864896
0.2980181736269634,0,358,0.2980181736269634,0.29625266790390015,-0.001765505723063298
0.2978579912631335,1,335,0.2978579912631335,0.25316905975341797,-0.044688931509715514
0.29753481763645806,0,465,0.29753481763645806,0.293942391872406,-0.003592425764052035
0.29587529859435235,3,231,0.29587529859435235,0.2870902419090271,-0.008785056685325261
0.2958065262746092,1,8,0.2958065262746092,0.296242356300354,0.00043583002574483026
0.2945998855218564,1,89,0.2945998855218564,0.24018551409244537,-0.05441437142941104
0.29423509025454786,3,497,0.29423509025454786,0.2573763430118561,-0.0368587472426918
0.2917062165479303,1,354,0.2917062165479303,0.2640393078327179,-0.027666908715212386
0.29103147478158536,2,337,0.29103147478158536,0.24920585751533508,-0.041825617266250295
0.29034604155275523,3,326,0.29034604155275523,0.26971930265426636,-0.0206267388984889
0.2884594718134814,1,140,0.2884594718134814,0.3207134008407593,0.03225392902727787
0.28725649116008,1,163,0.28725649116008,0.2906632423400879,0.0034067511800078753
0.28693099467937677,3,77,0.28693099467937677,0.2425622045993805,-0.044368790079996306
0.28682088580637227,0,176,0.28682088580637227,0.2543261647224426,-0.03249472108392965
0.285260337793109,3,74,0.285260337793109,0.28061091899871826,-0.004649418794390742
0.284991008996306,1,243,0.284991008996306,0.22495469450950623,-0.06003631448679973
0.28490804347305715,1,102,0.28490804347305715,0.28788626194000244,0.0029782184669453113
0.28454088313193954,2,138,0.28454088313193954,0.2631670832633972,-0.021373799868542324
0.28282724039988033,1,125,0.28282724039988033,0.27852725982666016,-0.004299980573220158
0.28093190908894383,2,272,0.28093190908894383,0.238507941365242,-0.0424239677237018
0.28088381404189355,1,41,0.28088381404189355,0.2356766015291214,-0.045207212512772155
0.2779253945117073,0,412,0.2779253945117073,0.30306476354599,0.02513936903428269
0.27619036108090295,0,293,0.27619036108090295,0.2625528573989868,-0.013637503681916152
0.27144529389204375,0,300,0.27144529389204375,0.23643183708190918,-0.035013456810134576
0.27064882029891824,2,65,0.27064882029891824,0.22572529315948486,-0.044923527139433386
0.2689654173177133,3,324,0.2689654173177133,0.2608681619167328,-0.00809725540098047
0.2670320704888887,3,241,0.2670320704888887,0.26756536960601807,0.0005332991171293432
0.2669453119210053,1,123,0.2669453119210053,0.3002799153327942,0.033334603411788906
0.2639096937909806,0,433,0.2639096937909806,0.23294897377490997,-0.03096072001607066
0.2637836310046761,3,163,0.2637836310046761,0.2647109925746918,0.0009273615700156756
0.26337075665726334,2,50,0.26337075665726334,0.27887654304504395,0.015505786387780633
