condition,count,control_id,scale,mean_nll,ppl,token_count,num_windows,bos_attention_mean,bos_attention_max_layer,inserted_attention_mean,inserted_attention_max_layer,inserted_minus_bos_mean,ppl_ratio_vs_clean
clean,0,-1,0.0,2.8167701415418995,16.722751232892264,196416,192,0.43394400567437214,0.7623619145403305,nan,nan,nan,1.0
bos_repeat_only,8,-1,0.0,2.78139160867233,16.141467932454866,196416,192,0.054700675750306495,0.09267237918296208,0.4378646065791448,0.7399058158819874,0.3831639306930204,0.9652399720391664
ordinary_repeat_only,8,-1,0.0,2.790855722188095,16.294957794351863,196416,192,0.4318622561792533,0.7598408920069536,0.0035349237429424343,0.018971701749251224,-0.42832733302687603,0.9744184774034689
selected_copy_bos,8,-1,4.0,2.7854940520703266,16.207823407735322,196416,192,0.0015306098339351593,0.00872818037654118,0.49230319711690146,0.8292772689213356,0.490772588023295,0.9692079480232821
random_copy_bos,8,0,4.0,2.7812887249570903,16.139807323690817,196416,192,0.054722339943206556,0.0927046025171876,0.4378904798068106,0.7399582682798306,0.38316814027105767,0.9651406696731311
bos_repeat_only,16,-1,0.0,2.7995714285195787,16.43760057449266,196416,192,0.029660616564797238,0.04968439731358861,0.4750084419113894,0.7930412453909715,0.44534782599657774,0.9829483405913055
ordinary_repeat_only,16,-1,0.0,2.786834319044146,16.22956078185459,196416,192,0.4310761356415848,0.758564172933499,0.0044684409064454185,0.02759265833689521,-0.4266077005304396,0.9705078163174724
selected_copy_bos,16,-1,4.0,2.8021376731924765,16.47983765155944,196416,192,0.0011731117416881414,0.00735486215611066,0.5072240852750838,0.8416870636865497,0.5060509727336466,0.985474065962601
random_copy_bos,16,0,4.0,2.7997062735310516,16.439817252381335,196416,192,0.029652006245062996,0.04967379141210889,0.4749897716877361,0.7930901171639562,0.4453377639874816,0.9830808952085336
bos_repeat_only,32,-1,0.0,2.8304189052438846,16.952560853956406,196416,192,0.015720738452121925,0.026069038615484413,0.5039796714360515,0.832900229220589,0.4882589296127359,1.0137423332957394
ordinary_repeat_only,32,-1,0.0,2.784708141775619,16.19509051657488,196416,192,0.42954561843847233,0.755307722526292,0.005894506515081351,0.04184948734473437,-0.4236511131748557,0.9684465367588845
selected_copy_bos,32,-1,4.0,2.834577730091203,17.02321039296218,196416,192,0.0008835094222376938,0.0059363433756516315,0.5235601187062761,0.8576677444701394,0.522676610853523,1.0179670890205517
random_copy_bos,32,0,4.0,2.831061104991685,16.96345128080179,196416,192,0.015721745740544673,0.026078252209117636,0.504025143571198,0.8329369826242328,0.4883033945225179,1.0143935674553413
bos_repeat_only,64,-1,0.0,2.8797212068092244,17.809307373799694,196416,192,0.008212593684826667,0.013550642635285234,0.5275651573513945,0.866979934896032,0.5193525638120869,1.0649747237027758
ordinary_repeat_only,64,-1,0.0,2.7830573933720393,16.16837855019252,196416,192,0.4281319632815818,0.7535414326315125,0.00870877586324544,0.06711126668960787,-0.4194231907216211,0.9668491939526471
selected_copy_bos,64,-1,4.0,2.8858489716779374,17.91877367119318,196416,192,0.0006389159740744313,0.0045236678342917,0.5403539060304562,0.8803478085125486,0.5397149920463562,1.071520673939611
random_copy_bos,64,0,4.0,2.8799154338171675,17.812766758226516,196416,192,0.008210997834491232,0.013558393848749498,0.5275883399881423,0.8669364079833031,0.5193773383895556,1.0651815906458193
