variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
no_bos,none,0,10.83618450164795,50827.078125,0.034856267273426056,0.035474132746458054,1,0.03115157037973404,0.0314592607319355,0.0037046968936920166,0.0349071 0.0350518 0.034676 0.0347902,0.0311954 0.0311343 0.0311437 0.0311329,0.0,nan,nan
no_bos,none,1000,6.110273838043213,450.4620361328125,0.02632591873407364,0.03580671548843384,1,0.02310364320874214,0.03314945474267006,0.003222275525331497,0.033112 0.018784 0.0203284 0.0330793,0.0295269 0.0154242 0.0164428 0.0310206,0.0,nan,nan
no_bos,none,2000,5.806742191314697,332.5340270996094,0.022946609184145927,0.03660624101758003,1,0.018803775310516357,0.030229520052671432,0.00414283387362957,0.0344594 0.0157062 0.0146883 0.0269325,0.0284181 0.0110901 0.0105968 0.0251101,0.0,nan,nan
no_bos,none,3000,5.705494403839111,300.5140075683594,0.021951235830783844,0.03658115863800049,1,0.017382364720106125,0.029597701504826546,0.004568871110677719,0.0345342 0.0156171 0.0137674 0.0238863,0.0269367 0.0103448 0.0098395 0.0224085,0.0,nan,nan
no_bos,none,4000,5.679310321807861,292.7474670410156,0.021724693477153778,0.03864162787795067,1,0.01666036620736122,0.029916174709796906,0.005064327269792557,0.0353836 0.0158619 0.0128657 0.0227876,0.0258942 0.0103053 0.00950559 0.0209364,0.0,nan,nan
no_bos,none,5000,5.747480392456055,313.4000244140625,0.022762011736631393,0.041295126080513,1,0.016241349279880524,0.030412308871746063,0.00652066245675087,0.0367105 0.0166016 0.0143148 0.0234211,0.0251334 0.0103831 0.00967846 0.0197704,0.0,nan,nan
no_bos,none,6000,5.829594612121582,340.2207336425781,0.022972047328948975,0.0445200614631176,1,0.015873782336711884,0.03098948299884796,0.007098264992237091,0.0378018 0.0163321 0.0143308 0.0234236,0.024827 0.0100527 0.00937493 0.0192406,0.0,nan,nan
no_bos,none,7000,5.909373760223389,368.4753723144531,0.02344859205186367,0.046771589666604996,1,0.016164513304829597,0.03172649070620537,0.007284078747034073,0.0386571 0.0164287 0.0150695 0.0236391,0.025176 0.0106185 0.0100829 0.0187807,0.0,nan,nan
no_bos,none,8000,6.019804000854492,411.4979553222656,0.02424025349318981,0.05010511726140976,1,0.015927359461784363,0.03205649182200432,0.008312894031405449,0.0399916 0.0167222 0.0158385 0.0244087,0.0250816 0.0101855 0.0099318 0.0185105,0.0,nan,nan
no_bos,none,9000,6.13444185256958,461.4814453125,0.024209430441260338,0.05140835791826248,1,0.015682604163885117,0.03252096474170685,0.008526826277375221,0.0401671 0.0167949 0.0153803 0.0244954,0.0247871 0.00982366 0.00970451 0.0184152,0.0,nan,nan
no_bos,none,10000,6.259572505950928,522.995361328125,0.024553339928388596,0.051365744322538376,1,0.015397107228636742,0.03287952393293381,0.009156232699751854,0.0405353 0.0166296 0.0155078 0.0255407,0.0245953 0.00974345 0.00923068 0.018019,0.0,nan,nan
