model,source_path,count,control,metric,selected_value,control_value,selected_minus_control
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,bos_repeat_only,ppl_ratio_vs_clean,1.0906619362273329,1.0926301009471895,-0.0019681647198566132
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,bos_repeat_only,inserted_attention_mean,0.4097382506976525,0.3659815328816573,0.043756717815995216
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,bos_repeat_only,inserted_minus_bos_mean,0.4015381249288718,0.320349362368385,0.0811887625604868
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,random_copy_bos,ppl_ratio_vs_clean,1.0906619362273329,1.0936185270833312,-0.002956590855998309
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,random_copy_bos,inserted_attention_mean,0.4097382506976525,0.3656569899370273,0.04408126076062524
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,random_copy_bos,inserted_minus_bos_mean,0.4015381249288718,0.31982757709920406,0.08171054782966775
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,ppl_ratio_vs_clean,1.0906619362273329,0.9945945999519806,0.09606733627535224
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,inserted_attention_mean,0.4097382506976525,0.00941358482426343,0.4003246658733891
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,8,ordinary_repeat_only,inserted_minus_bos_mean,0.4015381249288718,-0.32941826929648715,0.730956394225359
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,bos_repeat_only,ppl_ratio_vs_clean,1.1949865164975706,1.1971715293743252,-0.002185012876754655
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,bos_repeat_only,inserted_attention_mean,0.4395322259515524,0.41158842605849105,0.02794379989306134
pythia_1b,outputs/preserved_main_paper_figures/sources/figure8_repeated_bos_prefix_metrics.csv,16,bos_repeat_only,inserted_minus_bos_mean,0.4346300270408392,0.38600054817895096,0.04862947886188823
