model,control,metric,n_pairs,mean_diff,std_diff,ci_low,ci_high,fraction_positive,sign_test_p_two_sided,normal_approx_p_two_sided
llama3_2_3b,bos_repeat_only,inserted_minus_bos_mean,4,0.06756685689712563,0.04634842853202374,0.033788083121180534,0.10864848992787302,1.0,0.125,0.003549995370552006
llama3_2_3b,ordinary_repeat_only,ppl_ratio_vs_clean,4,6.481971281926884,9.314712916928864,1.0157774366995358,15.585173358640533,1.0,0.125,0.16399190870835278
llama3_2_3b,ordinary_repeat_only,inserted_attention_mean,4,0.6894518088227718,0.04292653491825616,0.658797434701834,0.7281404705680264,1.0,0.125,0.0
llama3_2_3b,ordinary_repeat_only,inserted_minus_bos_mean,4,1.3113648243403686,0.044586319773793924,1.279214784813424,1.351292923791334,1.0,0.125,0.0
llama3_2_3b,random_copy_bos,ppl_ratio_vs_clean,4,0.9079781573525232,0.9165596551156112,0.2928326708296468,1.7647818102909092,1.0,0.125,0.04756049326588219
llama3_2_3b,random_copy_bos,inserted_attention_mean,4,0.03468397019120553,0.02136655608483638,0.019247920252382755,0.05378326595140001,1.0,0.125,0.0011680624873937617
llama3_2_3b,random_copy_bos,inserted_minus_bos_mean,4,0.0675563461845741,0.04635288027935902,0.033775485431154606,0.10864519820703822,1.0,0.125,0.003558349552587714
qwen3_4b,bos_repeat_only,ppl_ratio_vs_clean,4,0.0043161018292646736,0.0016640520321246624,0.0029504829596746773,0.005901456673655353,1.0,0.125,2.1318148624160926e-07
qwen3_4b,bos_repeat_only,inserted_attention_mean,4,0.029755857462684318,0.018318566281182034,0.01618459797464311,0.04572405472087365,1.0,0.125,0.0011592948013354754
qwen3_4b,bos_repeat_only,inserted_minus_bos_mean,4,0.055772978385599956,0.038389234384101176,0.027390054737528174,0.08931091330790271,1.0,0.125,0.0036648266248191508
qwen3_4b,ordinary_repeat_only,ppl_ratio_vs_clean,4,0.04098693812839324,0.048096519885403546,0.004877860132470935,0.08224517240150508,0.75,0.625,0.08831349629017593
qwen3_4b,ordinary_repeat_only,inserted_attention_mean,4,0.5102086650252506,0.01853254803390344,0.4957619588712987,0.5246553711792027,1.0,0.125,0.0
qwen3_4b,ordinary_repeat_only,inserted_minus_bos_mean,4,0.9393061252776533,0.01727322263766572,0.9258792971571286,0.952732953398178,1.0,0.125,0.0
qwen3_4b,random_copy_bos,ppl_ratio_vs_clean,4,0.00409326349080516,0.0016537662871710785,0.0028116976530883353,0.005647692861646403,1.0,0.125,7.412502318615566e-07
qwen3_4b,random_copy_bos,inserted_attention_mean,4,0.029736893018707633,0.018323377434303907,0.016150270588696003,0.04569328176633765,1.0,0.125,0.0011712630808236035
qwen3_4b,random_copy_bos,inserted_minus_bos_mean,4,0.05575713162155202,0.03840363760057602,0.02735543499390286,0.08929663989692926,1.0,0.125,0.003687316407688268
mistral_7b_v0_1,bos_repeat_only,ppl_ratio_vs_clean,4,1.3606852143364045,1.1754936434696164,0.43316263533484867,2.2909893860676043,1.0,0.125,0.020608153821316755
mistral_7b_v0_1,bos_repeat_only,inserted_attention_mean,4,0.022585705310727178,0.013576166118767625,0.012686734708646952,0.03461609811832511,1.0,0.125,0.0008770505412107887
mistral_7b_v0_1,bos_repeat_only,inserted_minus_bos_mean,4,0.03220318595413116,0.023491007903737468,0.015040411613881532,0.052962532228169296,1.0,0.125,0.006111361937805926
mistral_7b_v0_1,ordinary_repeat_only,ppl_ratio_vs_clean,4,5.79762029743989,7.722227114685184,0.8829343092492065,13.146107883725572,1.0,0.125,0.13321569142972534
mistral_7b_v0_1,ordinary_repeat_only,inserted_attention_mean,4,0.6340879646462174,0.043185436894029545,0.6013430458606308,0.6718202564443345,1.0,0.125,0.0
mistral_7b_v0_1,ordinary_repeat_only,inserted_minus_bos_mean,4,1.067139030463295,0.05475693377028447,1.0226075965135046,1.1120597521561042,1.0,0.125,0.0
mistral_7b_v0_1,random_copy_bos,ppl_ratio_vs_clean,4,1.3609181693860075,1.1759350916654194,0.43318971293935016,2.2918373972509567,1.0,0.125,0.020634042137289033
mistral_7b_v0_1,random_copy_bos,inserted_attention_mean,4,0.022587694072475045,0.013576009715469252,0.012689755763858557,0.03461938537657261,1.0,0.125,0.0008760082729346585
mistral_7b_v0_1,random_copy_bos,inserted_minus_bos_mean,4,0.0322042780462652,0.023489460096533972,0.015043575937549236,0.05296384512136375,1.0,0.125,0.00610627286069354
pooled_model_count,bos_repeat_only,ppl_ratio_vs_clean,19,0.47926363144932455,0.8543650970776243,0.15160941488142732,0.8993692485765742,0.6842105263157895,0.1670684814453125,0.014478677686118324
pooled_model_count,bos_repeat_only,inserted_attention_mean,19,0.04125013173018631,0.03736565680915566,0.026821477918705917,0.0588517403965326,1.0,3.814697265625e-06,1.4939503247823893e-06
pooled_model_count,bos_repeat_only,inserted_minus_bos_mean,19,0.07694293574847202,0.07712948053520934,0.04706579206609412,0.11400439884955789,1.0,3.814697265625e-06,1.3716149165565739e-05
pooled_model_count,ordinary_repeat_only,ppl_ratio_vs_clean,19,2.661989609770709,5.809869512462353,0.5411283274158724,5.534032772693341,0.9473684210526315,7.62939453125e-05,0.045805847730656435
pooled_model_count,ordinary_repeat_only,inserted_attention_mean,19,0.516153178394872,0.1464261667238925,0.4524428560829652,0.5792227600406094,1.0,3.814697265625e-06,0.0
pooled_model_count,ordinary_repeat_only,inserted_minus_bos_mean,19,0.9329746942916116,0.27312301305033176,0.8126664799964873,1.0507093271334542,1.0,3.814697265625e-06,0.0
pooled_model_count,random_copy_bos,ppl_ratio_vs_clean,19,0.47758424781260855,0.8511861936427682,0.14165236386812532,0.8837710321188652,0.6842105263157895,0.1670684814453125,0.014457340701612198
pooled_model_count,random_copy_bos,inserted_attention_mean,19,0.041271068008714606,0.03760553992410164,0.02632399183583625,0.0596911094657946,1.0,3.814697265625e-06,1.7203386524222708e-06
pooled_model_count,random_copy_bos,inserted_minus_bos_mean,19,0.07709096469765776,0.07763539080896466,0.04682246095647935,0.11477950702292698,1.0,3.814697265625e-06,1.5024306396105302e-05
