variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos8_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
single_8,8,0,10.856240272521973,51856.74609375,0.03491126745939255,0.035551413893699646,1,0.031263623386621475,0.031592581421136856,0.0036476440727710724,0.0347668 0.0347362 0.0350786 0.0350634,0.0312645 0.0311351 0.0313018 0.0313531,0.0218455009162426,0.022234223783016205,0.0219574 0.0217607 0.0217636 0.0219002,0.0218455009162426,0.0218455009162426,0.022234223783016205
single_8,8,1000,6.066986560821533,431.3787841796875,0.02851569466292858,0.03572631999850273,1,0.025038613006472588,0.031907327473163605,0.0034770816564559937,0.0338473 0.0186357 0.0279356 0.0336442,0.0295357 0.0150125 0.0249306 0.0306757,0.016250237822532654,0.02800356037914753,0.0226819 0.00504184 0.0163935 0.0208836,0.016250237822532654,0.016250237822532654,0.02800356037914753
single_8,8,2000,5.7587971687316895,316.96685791015625,0.024200087413191795,0.03529185801744461,1,0.02165752463042736,0.03030628338456154,0.002542562782764435,0.0338646 0.0157105 0.0193479 0.0278774,0.0293623 0.0129142 0.0172559 0.0270976,0.014200562611222267,0.0262657068669796,0.0239544 0.0024832 0.00978993 0.0205747,0.014200562611222267,0.014200562611222267,0.0262657068669796
single_8,8,3000,5.673202037811279,290.9647216796875,0.022441888228058815,0.03713579848408699,1,0.0200846865773201,0.03046787902712822,0.002357201650738716,0.033695 0.0157199 0.017579 0.0227736,0.0286488 0.013508 0.0152432 0.0229388,0.014164353720843792,0.04176022857427597,0.0298604 0.00219291 0.00712292 0.0174812,0.014164353720843792,0.014164353720843792,0.04176022857427597
single_8,8,4000,5.663956165313721,288.2868957519531,0.02271680161356926,0.03782692924141884,1,0.020029153674840927,0.029724936932325363,0.0026876479387283325,0.0337202 0.0160429 0.0179796 0.0231245,0.0281294 0.014637 0.015691 0.0216591,0.014321382157504559,0.056493598967790604,0.0337136 0.00219351 0.00669194 0.0146865,0.014321382157504559,0.014321382157504559,0.056493598967790604
single_8,8,5000,5.72353458404541,305.9845275878906,0.022270862013101578,0.038910746574401855,1,0.019498957321047783,0.028480583801865578,0.002771904692053795,0.033743 0.016207 0.0170079 0.0221255,0.0274124 0.0143689 0.0148398 0.0213748,0.013891849666833878,0.06732527166604996,0.0366705 0.00169673 0.00522077 0.0119794,0.013891849666833878,0.013891849666833878,0.06732527166604996
single_8,8,6000,5.778384208679199,323.2364807128906,0.022150253877043724,0.03882340341806412,1,0.018957465887069702,0.028019502758979797,0.003192787989974022,0.0334319 0.0161955 0.0170924 0.0218812,0.026921 0.014621 0.0140844 0.0202035,0.014851663261651993,0.07567133754491806,0.0400848 0.00172206 0.00519452 0.0124052,0.014851663261651993,0.014851663261651993,0.07567133754491806
single_8,8,7000,5.867589473724365,353.3960876464844,0.022657211869955063,0.03943277895450592,1,0.019117314368486404,0.027357516810297966,0.0035398975014686584,0.0337538 0.0162709 0.0178466 0.0227575,0.0264207 0.0149498 0.0146582 0.0204405,0.015063265338540077,0.08614259958267212,0.0432738 0.00154406 0.00449174 0.0109435,0.015063265338540077,0.015063265338540077,0.08614259958267212
single_8,8,8000,5.986476421356201,398.0097351074219,0.022314121946692467,0.03917960822582245,1,0.018702682107686996,0.026774153113365173,0.0036114398390054703,0.0324758 0.0161275 0.0174906 0.0231626,0.025956 0.0149767 0.0139843 0.0198938,0.015266933478415012,0.09045051038265228,0.0439157 0.00151846 0.00476298 0.0108706,0.015266933478415012,0.015266933478415012,0.09045051038265228
single_8,8,9000,6.130893707275391,459.8469543457031,0.022225217893719673,0.039789214730262756,1,0.018338114023208618,0.02602655068039894,0.003887103870511055,0.0328084 0.0150853 0.0173568 0.0236505,0.0251324 0.0146291 0.0138706 0.0197203,0.015441620722413063,0.09719294309616089,0.0466701 0.00136824 0.00387435 0.00985382,0.015441620722413063,0.015441620722413063,0.09719294309616089
single_8,8,10000,6.246836185455322,516.3765258789062,0.02256804145872593,0.03969581425189972,1,0.018227290362119675,0.025846989825367928,0.004340751096606255,0.0327053 0.0156369 0.0183387 0.0235913,0.0245216 0.0142935 0.0141156 0.0199784,0.01633792370557785,0.10529100894927979,0.0493548 0.00112727 0.00461324 0.0102564,0.01633792370557785,0.01633792370557785,0.10529100894927979
