artifact_family,model_key,condition,candidate_group,source_path,resampling_unit,num_units,delta_nll_mean,delta_nll_ci_low,delta_nll_ci_high,ppl_ratio_mean_from_delta_nll,ppl_ratio_ci_low_from_delta_nll,ppl_ratio_ci_high_from_delta_nll,dummy_minus_bos_mean,dummy_minus_bos_ci_low,dummy_minus_bos_ci_high,dummy_attention_mean,dummy_attention_ci_low,dummy_attention_ci_high,bos_attention_mean,bos_attention_ci_low,bos_attention_ci_high,output_kl_mean,output_kl_ci_low,output_kl_ci_high
intervention_decomposition,pythia_1b,dummy_add_only,selected,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,0.007808185625868623,0.00614340932255029,0.009480397885379367,1.007838749003641,1.0061623187645843,1.0095254792077482,0.01032264507375653,0.009855983755551237,0.010787196649471255,0.19299951265566045,0.19038389309425835,0.19569338308065196,0.1826768675819039,0.18021682571270498,0.18514680067892184,0.013488240772858212,0.012762318516979527,0.014275179995820463
intervention_decomposition,pythia_1b,dummy_only,selected,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,-0.0035779622992462186,-0.005157096504815475,-0.002105994145308514,0.9964284309806168,0.994856178487422,0.997896221904426,-0.34828351670876145,-0.35347047916147856,-0.3431668824283406,0.0029228371204225783,0.0028591931504706224,0.0029889289934544173,0.3512063529342413,0.3461922402726486,0.3563281678361818,0.01198913004191122,0.01136039258417436,0.01265164429605643
intervention_decomposition,pythia_1b,full_transfer,selected,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,0.007169326379501871,0.005618482461073441,0.008707383604226775,1.0071950875264284,1.0056342957353195,1.0087454031389484,0.31384812062606215,0.3089909358648583,0.31864266322227197,0.33648766996338964,0.33138884949730707,0.34156739864265545,0.02263954922091211,0.022393998456391225,0.022913078654528313,0.012012051956844466,0.011201210934632347,0.012857844491008975
intervention_decomposition,pythia_1b,random_dummy_add_only,layer_matched_random,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,-0.005184896996760028,-0.006694900628292196,-0.0037228487337322667,0.9948285213806884,0.9933274602897165,0.9962840724760785,-0.2275717668235302,-0.23124948748154567,-0.2237804333970416,0.06719474995043126,0.06651444956951306,0.06789176088641394,0.29476651595905423,0.29038587483810263,0.2991703331936151,0.012637870633625375,0.011976199525088256,0.013344341753690914
intervention_decomposition,pythia_1b,random_full_transfer,layer_matched_random,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,-0.002946866688956695,-0.004570527976325934,-0.0013647844831031798,0.9970574710607151,0.995439900991985,0.9986361464117011,-0.22997494833543897,-0.2338106173207052,-0.22613813652424142,0.06606101372744884,0.06538481271563794,0.066740535502322,0.2960359617136419,0.2915330891730264,0.30046367874601854,0.01411383008235129,0.013321674184771785,0.014952682013608812
intervention_decomposition,pythia_1b,source_subtract_only,selected,outputs/intervention_decomposition/pythia_1b_20260714_run2/per_example.csv,example_idx,64,0.36066459886955493,0.34463987406397845,0.3771022012622942,1.4342823202839161,1.411481517026169,1.458053316646184,-0.15918892109766603,-0.1632480809057597,-0.1554094551713206,0.002597752409201294,0.002545871545225906,0.0026498108362829433,0.16178667312487954,0.15790688312263224,0.16586282274220135,0.3677713896613568,0.35265493365586736,0.38267616751254535
intervention_decomposition,llama3_2_3b,dummy_add_only,selected,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,0.018204952847806086,0.015882053076929598,0.020545486550876468,1.0183716731771055,1.016008843221855,1.0207579979478283,-0.07335027586668727,-0.07373284726636481,-0.07297303311061111,0.2898086099885404,0.28798067417228596,0.29159126050071793,0.3631588858552277,0.3611839101882651,0.36515840226784346,0.0328229659935459,0.03134145173098655,0.03426652253110655
intervention_decomposition,llama3_2_3b,dummy_only,selected,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,-0.009828533944496247,-0.01129366966985883,-0.008381543481105173,0.9902196082437786,0.9887698644148621,0.9916534837254589,-0.6264083022251725,-0.6303308382164687,-0.6225937336683274,0.0019482156549201516,0.001925817264418531,0.0019706347964983583,0.6283565163612366,0.6244402080308646,0.6322793691651896,0.015102354504051563,0.014328303975707907,0.0159686221457377
intervention_decomposition,llama3_2_3b,full_transfer,selected,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,0.0346519343431161,0.030213544981687008,0.03908352194643436,1.0352593078706296,1.030674605844887,1.0398573309315737,0.5291083138436079,0.5252213733270764,0.5330101202474907,0.5693299118429422,0.5654742386657745,0.5733696998562664,0.040221596776973415,0.040130480544757985,0.0403168131204438,0.059377828030846964,0.05626305420737475,0.06261125451128459
intervention_decomposition,llama3_2_3b,random_dummy_add_only,layer_matched_random,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,-0.00991900715310548,-0.0114485461923966,-0.008416563231690925,0.9901300239511434,0.9886167390347407,0.9916187568758578,-0.6264237193390727,-0.6303462975425645,-0.6225107538513839,0.0019660435027617097,0.0019436456529546894,0.001988620746760671,0.6283897627145052,0.6244271049275995,0.6323935229796916,0.01526056617149147,0.014468116909483748,0.016108481273840833
intervention_decomposition,llama3_2_3b,random_full_transfer,layer_matched_random,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,-0.010205720992848055,-0.01176712221647167,-0.008676269536843403,0.9898461806629759,0.988301839607052,0.991361260670531,-0.6265156315639615,-0.6304484136868268,-0.6225514167919755,0.0019577890070649594,0.0019362636960522216,0.001979769872423232,0.6284734206274152,0.6245675390120595,0.6323915387038141,0.015175057371379759,0.014406308240359017,0.01603683473258566
intervention_decomposition,llama3_2_3b,source_subtract_only,selected,outputs/intervention_decomposition/llama3_2_3b_20260714/per_example.csv,example_idx,64,3.0053317255521685,2.9237014501558605,3.085018022552147,20.192913490455073,18.61004428257934,21.867860953188178,-0.04626392375212159,-0.046459760209836505,-0.046079496247693856,0.0035844658050336363,0.0034886188718700755,0.0036808628758989844,0.04984838975360613,0.04964525614050213,0.050061763012490657,3.0479200519621372,2.969526688288897,3.127104819845408
intervention_decomposition,qwen3_4b,dummy_add_only,selected,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.04084187915015193,-0.046497604784028604,-0.035617550563719,0.9599809109450891,0.9545668469609897,0.9650092901763706,0.00022472045384342343,0.00021208029938856485,0.00023796121240588498,0.23159896139986813,0.23013487579883077,0.2331450746685732,0.23137424094602463,0.22994967608246952,0.23290056987898425,0.016248944841208812,0.015418260762817174,0.017114327214949245
intervention_decomposition,qwen3_4b,dummy_only,selected,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.040288386340248436,-0.04577625457375857,-0.0352077296752034,0.9605124005512109,0.9552556723690694,0.9654048521903481,0.00017839507199818799,0.00016426637303079502,0.0001924543757922492,0.23156144726090133,0.2301391415297985,0.23311387599096633,0.2313830521889031,0.2299319094396196,0.23287584528443403,0.016332851242623243,0.015510618940606891,0.017175747559303945
intervention_decomposition,qwen3_4b,full_transfer,selected,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.03476613288051568,-0.04073829566977937,-0.02882097688005582,0.9658312660232128,0.9600803542591894,0.9715903860403656,0.41975273424759507,0.4163274502847344,0.42329222689149903,0.4230148894712329,0.4195699895382859,0.4266101575922221,0.0032621547179587157,0.0032055079867859093,0.003319580912466284,0.015031295042717777,0.013999928922567,0.01608616657103989
intervention_decomposition,qwen3_4b,random_dummy_add_only,layer_matched_random,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.04076752424939282,-0.04623677504493806,-0.035695184593909114,0.9600522928842187,0.9548158588560691,0.9649343755240041,0.00017993780784303966,0.00016677926178085717,0.00019364331965329932,0.23157723690383136,0.23013632808579132,0.23313882358488627,0.23139729909598822,0.22996544208726846,0.23293023593141698,0.016332918356056284,0.015515729019534729,0.017183760233820025
intervention_decomposition,qwen3_4b,random_full_transfer,layer_matched_random,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.04060670287727954,-0.04624993612339762,-0.03531040525389785,0.9602067022270893,0.9548032925323297,0.9653057337770824,0.00020646560005839064,0.00019244216964575493,0.0002209430385846178,0.23161928774788976,0.23014154690899885,0.23313666009344158,0.23141282214783132,0.22997516450122926,0.2329415829211939,0.01639983338827728,0.015565742094986441,0.017243123824664457
intervention_decomposition,qwen3_4b,source_subtract_only,selected,outputs/intervention_decomposition/qwen3_4b_20260714/per_example.csv,example_idx,64,-0.032601025563647384,-0.038412128422383784,-0.02699090840180242,0.9679246597574204,0.9623162612727489,0.9733700909738736,0.4191228970885277,0.41585212127538396,0.4225530938594602,0.42238455219194293,0.4191443236079067,0.4258033207384869,0.0032616537318971954,0.0032061327419796288,0.0033196172431416444,0.014772358073969323,0.01374315174725775,0.01587297086371104
