variant,bos_positions,seed,step,grad_loss,pos0_qk_pressure_mean,pos0_qk_pressure_max_head,pos0_qk_pressure_by_layer,keypos0_qk_pressure_mean,keypos0_qk_pressure_max_head,keypos0_qk_pressure_by_layer,keypos1_qk_pressure_mean,keypos1_qk_pressure_max_head,keypos1_qk_pressure_by_layer,keypos2_qk_pressure_mean,keypos2_qk_pressure_max_head,keypos2_qk_pressure_by_layer,keypos3_qk_pressure_mean,keypos3_qk_pressure_max_head,keypos3_qk_pressure_by_layer,keypos4_qk_pressure_mean,keypos4_qk_pressure_max_head,keypos4_qk_pressure_by_layer,keypos5_qk_pressure_mean,keypos5_qk_pressure_max_head,keypos5_qk_pressure_by_layer,keypos6_qk_pressure_mean,keypos6_qk_pressure_max_head,keypos6_qk_pressure_by_layer,keypos7_qk_pressure_mean,keypos7_qk_pressure_max_head,keypos7_qk_pressure_by_layer,keypos8_qk_pressure_mean,keypos8_qk_pressure_max_head,keypos8_qk_pressure_by_layer,keypos9_qk_pressure_mean,keypos9_qk_pressure_max_head,keypos9_qk_pressure_by_layer,keypos10_qk_pressure_mean,keypos10_qk_pressure_max_head,keypos10_qk_pressure_by_layer,keypos11_qk_pressure_mean,keypos11_qk_pressure_max_head,keypos11_qk_pressure_by_layer,keypos12_qk_pressure_mean,keypos12_qk_pressure_max_head,keypos12_qk_pressure_by_layer,keypos13_qk_pressure_mean,keypos13_qk_pressure_max_head,keypos13_qk_pressure_by_layer,keypos14_qk_pressure_mean,keypos14_qk_pressure_max_head,keypos14_qk_pressure_by_layer,keypos15_qk_pressure_mean,keypos15_qk_pressure_max_head,keypos15_qk_pressure_by_layer,nonpos0_firstn_qk_pressure_mean,nonpos0_firstn_qk_pressure_max,pos0_minus_nonpos0_firstn_qk_pressure,bos_pos32_qk_pressure_mean,bos_pos32_qk_pressure_max_head,bos_pos32_qk_pressure_by_layer,bos_qk_pressure_sum_mean,bos_qk_pressure_max_position_mean,eval_loss,pos0_attention_mean,pos0_attention_max_head,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_attention_sum_mean
single_32,32,0,0,10.843391418457031,-9.697608049918927e-09,1.9015249108633725e-07,-1.97429e-08 -9.34955e-09 -3.86836e-09 -5.82963e-09,-9.697608049918927e-09,1.9015249108633725e-07,-1.97429e-08 -9.34955e-09 -3.86836e-09 -5.82963e-09,5.608073117002732e-09,7.07278218214924e-08,2.89537e-08 3.62842e-09 -4.64341e-09 -5.50646e-09,3.0239625914418866e-08,2.5670971126601216e-07,9.47622e-08 1.45659e-08 3.86782e-09 7.76258e-09,-5.3690785151161435e-09,5.3430674995524896e-08,-2.71971e-08 4.1635e-09 2.1862e-09 -6.28907e-10,2.5207622655898376e-09,6.92304169547242e-08,-1.80101e-09 1.22284e-08 6.62666e-10 -1.00704e-09,2.2372439900664176e-08,9.702819170342991e-08,5.59095e-08 2.60047e-08 1.02751e-08 -2.69957e-09,2.301176582619746e-09,4.359533178899255e-08,2.01559e-09 7.3934e-09 7.49593e-11 -2.79241e-10,-1.0248244031174636e-08,3.417647675973967e-08,-2.71144e-08 -1.85399e-09 -3.27576e-09 -8.74886e-09,-8.69235350364761e-09,2.4720847591197526e-08,-2.3827e-08 -1.04629e-08 5.54549e-10 -1.03413e-09,-8.965695741380841e-09,3.661187264469845e-08,-3.34408e-08 -8.77937e-09 6.85482e-09 -4.97406e-10,-6.822112208482167e-09,1.8786701971862385e-08,-5.32915e-09 -7.29405e-09 -6.19e-09 -8.47525e-09,2.035304813574612e-09,3.268356252306148e-08,5.87783e-09 8.33817e-09 -4.77901e-09 -1.29577e-09,-5.315264672844933e-09,2.4052335234614475e-08,-3.1262e-08 -7.66942e-11 8.02396e-09 2.05369e-09,-3.612109222839166e-10,3.5597704339807024e-08,-2.23442e-09 -3.48233e-09 3.54314e-09 7.2877e-10,-8.432436082728145e-09,8.811380070028463e-09,-2.47627e-08 -8.58141e-09 5.77131e-10 -9.62794e-10,-5.692232241116812e-10,3.3973634572248557e-08,7.79064e-09 5.43108e-09 -1.06547e-08 -4.84394e-09,6.867842461399931e-10,3.0239625914418866e-08,-1.038439229605892e-08,-1.9822001817715318e-09,2.0852965576523275e-08,-2.27728e-08 -1.24031e-09 6.34722e-09 9.73708e-09,-1.9822001817715318e-09,-1.9822001817715318e-09,10.843391418457031,0.03485841304063797,0.03546908125281334,0.014147007837891579,0.014453109353780746,0.014147007837891579
single_32,32,0,1000,5.953675746917725,2.148455413575334e-09,2.9521894262529713e-08,-2.6143e-10 8.15687e-09 -3.8148e-10 1.07986e-09,2.148455413575334e-09,2.9521894262529713e-08,-2.6143e-10 8.15687e-09 -3.8148e-10 1.07986e-09,1.0954592788436912e-09,2.6993541624165118e-08,7.92229e-09 -1.05505e-08 2.43097e-09 4.57911e-09,1.3089320738401966e-09,4.2103923902914175e-08,1.07977e-08 1.17462e-09 -4.84386e-09 -1.89271e-09,-5.913182166139563e-10,2.4577285984150876e-08,-2.41601e-08 1.57029e-08 2.89045e-09 3.2015e-09,4.367822992179526e-09,7.835580362325345e-08,1.81007e-08 -1.18535e-10 1.84944e-09 -2.36035e-09,-4.198557501666755e-09,1.0305489794859568e-08,-1.34198e-08 1.07801e-09 -3.90456e-09 -5.47896e-10,-3.507192536389425e-09,3.163187756172192e-08,-1.56039e-08 2.54449e-09 -1.16067e-09 1.91304e-10,1.5806063125012315e-09,1.880706435031243e-08,-6.74109e-09 5.45781e-11 4.64627e-09 8.36268e-09,-4.188031255125679e-09,1.3855678382412862e-08,-1.1277e-08 -4.887e-09 3.416e-10 -9.29738e-10,2.9729516626275654e-09,2.0454663740565593e-08,8.74197e-09 6.57968e-09 -3.96996e-10 -3.03285e-09,1.627609158560972e-11,2.718356562070312e-08,-1.03849e-08 6.64134e-09 -8.28284e-10 4.63696e-09,-4.741363746063598e-09,2.0566728764492836e-08,-1.2734e-08 4.72183e-09 -2.22101e-09 -8.73229e-09,-1.0823231200163264e-09,2.3225808831739414e-08,6.39488e-09 -5.98311e-09 -1.89675e-09 -2.84431e-09,-1.155272877362279e-09,1.742480648658784e-08,-1.22002e-08 1.22688e-09 1.89913e-09 4.45308e-09,-1.4225358668795707e-09,1.6994595952724012e-08,9.94007e-10 -8.70738e-10 -1.79616e-09 -4.01726e-09,1.0685150542144584e-09,3.359569333838408e-08,1.32366e-10 3.56585e-09 6.88246e-10 -1.12404e-10,-5.650687769550207e-10,4.367822992179526e-09,2.713524190530355e-09,8.902948933631194e-10,3.6756194532472364e-08,6.01949e-09 1.45308e-09 -2.87956e-09 -1.03183e-09,8.902948933631194e-10,8.902948933631194e-10,5.953675746917725,0.02650577761232853,0.034636542201042175,0.009808547794818878,0.017000867053866386,0.009808547794818878
single_32,32,0,5000,5.608966827392578,3.708836970872653e-08,2.853670082458848e-07,1.6257e-07 1.13122e-08 -1.65192e-08 -9.00909e-09,3.708836970872653e-08,2.853670082458848e-07,1.6257e-07 1.13122e-08 -1.65192e-08 -9.00909e-09,-5.320623941429403e-09,1.600648289468154e-07,4.25908e-08 -4.898e-08 -4.12006e-09 -1.07732e-08,2.1294603413934965e-08,1.5018738963590295e-07,9.85287e-08 1.99332e-08 -2.38718e-08 -9.41176e-09,1.2751684153045062e-08,1.406972387485439e-07,2.52596e-08 3.0657e-08 6.39402e-10 -5.5493e-09,3.1972565039950496e-08,1.4070130305299244e-07,9.82625e-08 2.3321e-08 8.93513e-09 -2.62832e-09,7.692313452878352e-09,2.2245671971177217e-07,6.03036e-08 -3.2429e-08 2.86321e-09 3.14667e-11,2.499903928310232e-08,1.1390810072953172e-07,5.73444e-08 4.20683e-08 -1.60065e-09 2.18416e-09,-1.2149796724258977e-09,1.0447000420299446e-07,3.341e-08 -5.03903e-08 1.9746e-08 -7.62563e-09,3.376979140767844e-09,9.843358128591717e-08,-6.63185e-08 5.94681e-08 2.0478e-08 -1.19597e-10,1.812113126220538e-08,8.096935033563568e-08,3.43518e-08 4.97522e-08 -5.2243e-10 -1.10971e-08,8.21693491026565e-10,6.1596729494795e-08,-2.33388e-08 3.53095e-08 1.08553e-10 -8.79246e-09,-1.5992327462299727e-08,5.5233037699053966e-08,-1.42643e-08 -1.46248e-08 -1.93565e-08 -1.57237e-08,7.199654206146988e-10,4.249602980621603e-08,7.70789e-09 1.19682e-09 1.3169e-08 -1.91939e-08,-1.2404932192566775e-08,5.5607269899837775e-08,-1.60227e-08 -3.62671e-08 -7.47527e-09 1.01453e-08,-8.65441229791486e-09,3.180314323003586e-08,-4.22236e-08 1.31844e-08 -9.06581e-09 3.48741e-09,-2.6166933508875445e-08,3.033314399658593e-08,-1.84182e-08 -4.93949e-08 -2.07322e-08 -1.61225e-08,3.4663843721342385e-09,3.1972565039950496e-08,3.362198533659229e-08,1.0926892457518989e-07,1.7282112594330101e-06,4.24087e-07 2.78086e-09 1.46014e-09 8.74744e-09,1.0926892457518989e-07,1.0926892457518989e-07,5.608966827392578,0.022371310740709305,0.04347509890794754,0.006943416781723499,0.026463981717824936,0.006943416781723499
single_32,32,0,10000,6.201285362243652,5.877538100662605e-08,1.0107256684932509e-06,2.23035e-07 1.16109e-08 1.66053e-08 -1.61497e-08,5.877538100662605e-08,1.0107256684932509e-06,2.23035e-07 1.16109e-08 1.66053e-08 -1.61497e-08,7.712625205158474e-09,7.821150234121887e-07,1.88535e-07 -7.16302e-08 -4.11668e-08 -4.48871e-08,2.7745798547584855e-08,3.7233351690701966e-07,1.41556e-07 -6.63244e-09 -2.32495e-08 -6.91056e-10,1.738402133355521e-08,3.6441238648876606e-07,5.45027e-08 1.40925e-08 1.59362e-08 -1.49953e-08,4.695619892913783e-08,4.788976752934104e-07,1.70448e-07 8.47481e-09 8.19409e-09 7.07973e-10,5.003589986785073e-09,3.260248888636852e-07,5.99436e-08 -2.80756e-08 -5.04466e-09 -6.80904e-09,6.893309745237275e-08,3.8312532524287235e-07,1.67983e-07 1.11272e-07 2.60549e-09 -6.12845e-09,1.1574424085836199e-08,1.627518315672205e-07,6.64026e-08 -1.42329e-08 1.02273e-08 -1.60993e-08,1.4564465189437215e-08,1.5341591108608554e-07,2.83795e-08 7.29806e-08 -2.21518e-08 -2.09505e-08,2.7517627287920732e-08,2.2148354617002042e-07,7.59329e-08 5.24569e-08 6.12855e-09 -2.44478e-08,4.344362647401567e-09,7.084116049327349e-08,-1.19597e-08 2.85269e-08 2.63414e-10 5.46817e-10,-3.169724926976869e-09,6.594847690166716e-08,-7.65942e-09 6.57112e-10 1.45382e-08 -2.02148e-08,-1.7202319568809799e-09,1.2222402290262835e-07,-4.43598e-09 1.82919e-08 -7.98923e-09 -1.27476e-08,-1.7771739635463746e-08,1.2619148037629202e-07,-2.58362e-08 -3.71658e-08 -2.6381e-08 1.82961e-08,-6.549112896436782e-08,1.5351054116763407e-07,-5.22985e-08 -7.88319e-08 -1.04412e-07 -2.64218e-08,-1.5472913617031736e-08,1.0473117129095044e-07,-3.00015e-08 -3.60115e-08 4.31299e-10 3.69008e-09,8.540698104297916e-09,6.893309745237275e-08,5.023468290232813e-08,7.685434866289143e-08,1.20661434266367e-06,2.92551e-07 8.40055e-09 -2.41589e-09 8.88161e-09,7.685434866289143e-08,7.685434866289143e-08,6.201285362243652,0.023466411978006363,0.04868784546852112,0.006548905745148659,0.040740083903074265,0.006548905745148659
