model,source_csv,delta,head_kind,ordinary_target,sequence_level_units,site_pairs_used,site_pairs_available,site_pairs_skipped,sink_delta_nll,ordinary_delta_nll,paired_delta_nll,paired_delta_nll_ci_low,paired_delta_nll_ci_high,fraction_positive_delta_nll,sink_kl,ordinary_kl,paired_kl,paired_kl_ci_low,paired_kl_ci_high,fraction_positive_kl,sink_logit_l2,ordinary_logit_l2,paired_logit_l2,paired_logit_l2_ci_low,paired_logit_l2_ci_high,fraction_positive_logit_l2
pythia_1b,outputs/causal_noop_full_wikitext_20260714/pythia_1b/wikitext_test/site_results.csv,0.05,sink_heavy,early,273,273,320,47,-0.0016238686461052807,0.00024298539631675942,0.00186685404242204,-0.0017051329503207718,0.005462066616288184,0.5054945054945055,0.00037323368896910995,0.0005217037670444946,0.00014847007807538464,7.62155876552972e-05,0.00022911700872731798,0.6593406593406593,5.487023923859928,7.820384859602093,2.333360935742165,2.038033150578593,2.6329311343776434,0.8754578754578755
llama3_2_3b,outputs/causal_noop_full_wikitext_20260714/llama3_2_3b/wikitext_test/site_results.csv,0.05,sink_heavy,early,258,258,1133,875,0.0007942072414491207,0.00032613958821400943,-0.0004680676532351112,-0.004396277932669751,0.003397678460803649,0.4806201550387597,0.00042690564132696467,0.0004215174929812209,-5.388148345743755e-06,-8.65400082725356e-05,7.553381355814164e-05,0.5077519379844961,8.39064382305441,9.179094451342442,0.7884506282880325,0.26696714883626893,1.2561956617259238,0.6550387596899225
mistral_7b_v0_1,outputs/causal_noop_mistral_wikitext_fixed_20260714/mistral_7b_v0_1/wikitext_test/site_results.csv,0.05,sink_heavy,early,187,187,256,69,-0.0014643135321367642,0.0005458496721537832,0.0020101632042905473,-0.0010822430628499408,0.005148518272046281,0.49732620320855614,0.0001951516331907842,0.00021515875732627883,2.0007124135494656e-05,-1.8282137299834668e-05,5.8710558072266945e-05,0.5080213903743316,3.5725936366912516,3.6366743607954546,0.064080724104203,0.006332500223169992,0.12125833882367547,0.5989304812834224
