model,sequence_index,num_pairs,sink_delta_nll,ordinary_delta_nll,paired_delta_nll,sink_kl,ordinary_kl,paired_kl,sink_logit_l2,ordinary_logit_l2,paired_logit_l2
pythia_1b,1,1,0.012404441833496094,-0.007656991481781006,-0.0200614333152771,0.00032823672518134117,0.00026524998247623444,-6.298674270510674e-05,5.385566234588623,6.534427165985107,1.1488609313964844
pythia_1b,3,1,-0.03043651580810547,-0.029786109924316406,0.0006504058837890625,4.638842074200511e-05,9.164959192276001e-05,4.52611711807549e-05,5.0034871101379395,6.5647873878479,1.561300277709961
pythia_1b,4,1,-0.0066220760345458984,-0.004992008209228516,0.0016300678253173828,0.0002916493685916066,0.00031272938940674067,2.108002081513405e-05,4.689454555511475,6.498289108276367,1.8088345527648926
pythia_1b,5,1,-0.00010532140731811523,-0.002410203218460083,-0.0023048818111419678,6.219604983925819e-06,0.00010998069774359465,0.00010376109275966883,5.026540279388428,9.196070671081543,4.169530391693115
pythia_1b,6,1,0.057090044021606445,0.051027774810791016,-0.00606226921081543,0.0002955114468932152,0.0005685144569724798,0.00027300301007926464,3.7567033767700195,8.28563404083252,4.5289306640625
pythia_1b,8,1,-0.0014671087265014648,-0.03698372840881348,-0.03551661968231201,7.451450801454484e-05,0.0004765444900840521,0.00040202998206950724,4.173073768615723,9.048149108886719,4.875075340270996
pythia_1b,9,1,-0.013045698404312134,0.009959012269973755,0.02300471067428589,0.0006300513632595539,0.0005234340205788612,-0.00010661734268069267,8.3450345993042,10.52488899230957,2.179854393005371
pythia_1b,10,1,-0.0026521682739257812,0.06755733489990234,0.07020950317382812,0.0002791173756122589,0.001259219367057085,0.0009801019914448261,4.56263542175293,7.798421859741211,3.2357864379882812
pythia_1b,11,1,-3.902893513441086e-05,-0.00017730006948113441,-0.00013827113434672356,2.549157215980813e-06,1.1038156117137987e-05,8.488998901157174e-06,6.392491340637207,7.1629438400268555,0.7704524993896484
pythia_1b,13,1,0.003236532211303711,-0.0031147003173828125,-0.0063512325286865234,0.0001211769413203001,0.00021025340538471937,8.907646406441927e-05,4.112549304962158,6.890655994415283,2.778106689453125
pythia_1b,14,1,0.0041255950927734375,-0.02455425262451172,-0.028679847717285156,0.0005177635466679931,0.0008736743475310504,0.0003559108008630574,5.118053436279297,10.526095390319824,5.408041954040527
pythia_1b,15,1,-4.041008651256561e-06,2.377200871706009e-07,4.278728738427162e-06,3.743534762179479e-07,9.707362096378347e-07,5.963827334198868e-07,3.9142115116119385,13.461594581604004,9.547383069992065
pythia_1b,16,1,-3.4749507904052734e-05,-8.463859558105469e-06,2.6285648345947266e-05,1.8891460058512166e-06,1.0311841833754443e-06,-8.579618224757724e-07,6.18999719619751,9.809013366699219,3.619016170501709
pythia_1b,17,1,0.05202293395996094,0.06225109100341797,0.010228157043457031,0.0003554894356057048,0.00016362644964829087,-0.0001918629859574139,6.697842597961426,5.758162498474121,-0.9396800994873047
pythia_1b,19,1,0.001684974879026413,8.098036050796509e-05,-0.0016039945185184479,5.1208073273301125e-05,4.938479833072051e-06,-4.626959344022907e-05,7.189115047454834,7.603748321533203,0.41463327407836914
pythia_1b,20,1,-0.051053762435913086,-0.10011911392211914,-0.049065351486206055,0.001913921907544136,0.007437059655785561,0.0055231377482414246,4.788626670837402,10.4661283493042,5.677501678466797
pythia_1b,22,1,-0.004480957984924316,-0.006029486656188965,-0.0015485286712646484,0.00018086307682096958,0.00017400551587343216,-6.857560947537422e-06,4.598951816558838,4.8840861320495605,0.28513431549072266
pythia_1b,23,1,0.027166128158569336,-0.0076029300689697266,-0.03476905822753906,0.0007491081487387419,0.0032394658774137497,0.002490357728675008,7.577301025390625,17.41897201538086,9.841670989990234
pythia_1b,24,1,0.0014445781707763672,-0.04202985763549805,-0.043474435806274414,0.0001472305739298463,0.0006601645145565271,0.0005129339406266809,3.700868606567383,8.635955810546875,4.935087203979492
pythia_1b,25,1,0.032219886779785156,0.017102956771850586,-0.01511693000793457,0.0004915622994303703,0.0004429430700838566,-4.861922934651375e-05,3.9508092403411865,5.6569600105285645,1.706150770187378
pythia_1b,26,1,0.021601170301437378,0.004164248704910278,-0.0174369215965271,0.0006245123222470284,0.00015264171815942973,-0.0004718706040875986,5.180408477783203,9.617883682250977,4.437475204467773
pythia_1b,27,1,-0.005237102508544922,0.00999307632446289,0.015230178833007812,0.00047041376819834113,0.0008103839354589581,0.000339970167260617,6.563514709472656,7.620013236999512,1.0564985275268555
pythia_1b,28,1,-0.016409873962402344,-0.06674671173095703,-0.05033683776855469,0.0004987118300050497,0.002909163013100624,0.0024104511830955744,8.545156478881836,20.9219970703125,12.376840591430664
pythia_1b,29,1,-0.004479408264160156,0.029012203216552734,0.03349161148071289,0.00016478513134643435,0.0007008062675595284,0.000536021136213094,4.277454853057861,8.200620651245117,3.923165798187256
pythia_1b,30,1,-0.05682849884033203,-0.04359579086303711,0.013232707977294922,0.0006918676663190126,0.0005069724284112453,-0.0001848952379077673,7.497600078582764,8.255412101745605,0.7578120231628418
pythia_1b,31,1,-0.029149532318115234,-0.006269931793212891,0.022879600524902344,0.00048762490041553974,0.00021456612739712,-0.00027305877301841974,4.088704586029053,4.452520370483398,0.3638157844543457
pythia_1b,32,1,9.910156950354576e-05,-3.8337428122758865e-05,-0.00013743899762630463,3.949411620851606e-06,4.645180524676107e-06,6.957689038245007e-07,9.653462409973145,11.960243225097656,2.3067808151245117
pythia_1b,33,1,-0.05754661560058594,0.0026705265045166016,0.06021714210510254,0.0003137905150651932,0.00018388975877314806,-0.00012990075629204512,5.217597961425781,4.86888313293457,-0.34871482849121094
pythia_1b,34,1,-0.026559829711914062,0.009402275085449219,0.03596210479736328,0.00024323869729414582,0.0003692248137667775,0.0001259861164726317,4.470038890838623,5.620736598968506,1.1506977081298828
pythia_1b,35,1,-0.05285072326660156,0.0014023780822753906,0.05425310134887695,0.0004700738936662674,0.0001417736930307001,-0.0003283002006355673,3.9592764377593994,4.9771037101745605,1.0178272724151611
pythia_1b,36,1,-0.034781455993652344,-0.06776046752929688,-0.03297901153564453,0.00048069609329104424,0.00036181812174618244,-0.0001188779715448618,3.832383871078491,5.044947147369385,1.2125632762908936
pythia_1b,37,1,0.03356856107711792,0.0008301734924316406,-0.03273838758468628,0.0014916285872459412,3.088248195126653e-05,-0.0014607461052946746,5.838764667510986,6.851644039154053,1.0128793716430664
pythia_1b,39,1,-4.682689905166626e-05,-0.0033806785941123962,-0.00333385169506073,2.1249623387120664e-05,0.0001947911223396659,0.00017354149895254523,7.195740222930908,11.74252986907959,4.546789646148682
pythia_1b,41,1,0.0025811195373535156,-0.07633596658706665,-0.07891708612442017,0.00012547813821583986,0.0018416345119476318,0.001716156373731792,13.52242660522461,13.056268692016602,-0.4661579132080078
pythia_1b,42,1,-0.04626655578613281,0.023074626922607422,0.06934118270874023,0.0005859537050127983,0.00041378976311534643,-0.00017216394189745188,5.039711952209473,5.816888332366943,0.7771763801574707
pythia_1b,43,1,-0.07227635383605957,-0.07639503479003906,-0.004118680953979492,0.0022980375215411186,0.0018930132500827312,-0.0004050242714583874,5.96859884262085,9.87287425994873,3.904275417327881
pythia_1b,44,1,-0.010478079319000244,0.009474650025367737,0.01995272934436798,0.0003144117072224617,0.0005799275822937489,0.00026551587507128716,7.229665756225586,14.935975074768066,7.7063093185424805
pythia_1b,45,1,1.0728836059570312e-06,-0.0001112818717956543,-0.00011235475540161133,1.7634869436733425e-05,3.081169415963814e-05,1.3176824722904712e-05,4.168471813201904,9.619820594787598,5.451348781585693
pythia_1b,46,1,0.016854286193847656,0.04541921615600586,0.028564929962158203,0.0003773234784603119,0.000382804311811924,5.480833351612091e-06,3.909945011138916,3.952918767929077,0.04297375679016113
pythia_1b,47,1,0.0025600194931030273,0.001014113426208496,-0.0015459060668945312,7.939990609884262e-05,0.00012105287169106305,4.1652965592220426e-05,3.9575960636138916,5.918533802032471,1.960937738418579
pythia_1b,48,1,0.010377883911132812,0.0067920684814453125,-0.0035858154296875,0.0003296147915534675,0.0005113896913826466,0.00018177489982917905,5.646141052246094,5.359654903411865,-0.2864861488342285
pythia_1b,49,1,0.00031584128737449646,-0.0009990744292736053,-0.0013149157166481018,8.534756489098072e-06,3.234903488191776e-05,2.3814278392819688e-05,4.3472137451171875,5.995353698730469,1.6481399536132812
pythia_1b,50,1,-0.009797632694244385,-0.009713530540466309,8.410215377807617e-05,0.00029578700195997953,0.00033039675327017903,3.46097513101995e-05,5.838764667510986,6.543437480926514,0.7046728134155273
pythia_1b,51,1,0.012568891048431396,-0.0002238452434539795,-0.012792736291885376,0.000654163770377636,3.6817895306739956e-05,-0.000617345875070896,5.605781555175781,5.633785724639893,0.028004169464111328
pythia_1b,52,1,0.0003097187727689743,0.002549063414335251,0.0022393446415662766,1.2909629731439054e-05,0.00012659281492233276,0.00011368318519089371,4.698302268981934,5.769354343414307,1.071052074432373
pythia_1b,53,1,0.0018894672393798828,0.012226343154907227,0.010336875915527344,0.0006158198229968548,0.00046953605487942696,-0.00014628376811742783,6.051355361938477,6.268671035766602,0.217315673828125
pythia_1b,54,1,4.884274676442146e-05,0.0004566048737615347,0.00040776212699711323,1.517499185865745e-06,3.253646718803793e-05,3.101896800217219e-05,5.289597511291504,9.430843353271484,4.1412458419799805
pythia_1b,55,1,0.0013873279094696045,0.000803530216217041,-0.0005837976932525635,4.41495212726295e-05,3.445701440796256e-05,-9.692506864666939e-06,5.684822082519531,6.601797103881836,0.9169750213623047
pythia_1b,56,1,0.005258083343505859,-0.013301849365234375,-0.018559932708740234,0.0003560764598660171,0.00041719700675457716,6.112054688856006e-05,4.895302772521973,5.7532477378845215,0.8579449653625488
pythia_1b,57,1,-0.005461692810058594,-0.012959003448486328,-0.007497310638427734,0.001147928647696972,0.0009204940870404243,-0.00022743456065654755,5.6177287101745605,4.603864669799805,-1.0138640403747559
pythia_1b,58,1,-0.00950932502746582,-0.009451150894165039,5.817413330078125e-05,0.0003203083761036396,0.0004827609518542886,0.00016245257575064898,3.9520273208618164,5.099318981170654,1.147291660308838
pythia_1b,59,1,-0.007176518440246582,-0.015455365180969238,-0.008278846740722656,0.00024057598784565926,0.00045665178913623095,0.0002160758012905717,4.769463062286377,6.294858932495117,1.5253958702087402
pythia_1b,60,1,0.0013834238052368164,0.0016292184591293335,0.0002457946538925171,4.4125132262706757e-05,5.689007230103016e-05,1.2764940038323402e-05,7.145941734313965,11.895115852355957,4.749174118041992
pythia_1b,61,1,0.002595186233520508,-0.0007882118225097656,-0.0033833980560302734,0.0008607734926044941,0.0007727094925940037,-8.806400001049042e-05,6.488219738006592,5.996713161468506,-0.49150657653808594
pythia_1b,62,1,0.004488825798034668,-0.002912282943725586,-0.007401108741760254,0.0004023148212581873,0.00043095345608890057,2.8638634830713272e-05,7.230606555938721,7.761722087860107,0.5311155319213867
pythia_1b,64,1,0.03068065643310547,0.0400313138961792,0.00935065746307373,0.0006344886496663094,0.0006536068394780159,1.9118189811706543e-05,6.647343158721924,10.484038352966309,3.8366951942443848
pythia_1b,66,1,-0.01517629623413086,-0.012744426727294922,0.0024318695068359375,0.00039692409336566925,0.0005442104302346706,0.0001472863368690014,4.629652500152588,5.698873996734619,1.0692214965820312
pythia_1b,67,1,-0.001877903938293457,-0.03194540739059448,-0.030067503452301025,0.00026419805362820625,0.0005531590431928635,0.0002889609895646572,5.772258758544922,5.403844356536865,-0.36841440200805664
pythia_1b,68,1,4.0590763092041016e-05,-0.03205886483192444,-0.03209945559501648,1.9579497347876895e-06,0.0015060808509588242,0.0015041229012240365,6.191318988800049,9.042061805725098,2.850742816925049
pythia_1b,71,1,0.0008102357387542725,0.006867200136184692,0.00605696439743042,4.973975592292845e-05,0.00023450310982298106,0.0001847633539000526,4.274409294128418,5.975186347961426,1.7007770538330078
pythia_1b,72,1,0.04104781150817871,0.037574052810668945,-0.0034737586975097656,0.0005106907337903976,0.0004782332107424736,-3.245752304792404e-05,3.7944107055664062,5.898613929748535,2.104203224182129
pythia_1b,73,1,-0.0475926399230957,-0.04023456573486328,0.007358074188232422,0.0006611223798245192,0.0007870301487855613,0.00012590776896104217,7.966322898864746,9.85466480255127,1.8883419036865234
pythia_1b,74,1,-0.007837533950805664,-0.014546632766723633,-0.006709098815917969,0.0002684732899069786,0.00041845953091979027,0.00014998624101281166,4.734374523162842,6.49064302444458,1.7562685012817383
pythia_1b,75,1,-0.08246350288391113,-0.08130574226379395,0.0011577606201171875,0.0005381661467254162,0.0005635293200612068,2.5363173335790634e-05,4.237791538238525,4.514427185058594,0.27663564682006836
pythia_1b,76,1,0.013255119323730469,0.0046367645263671875,-0.008618354797363281,0.00034786807373166084,0.00022126256953924894,-0.0001266055041924119,3.5366389751434326,7.217885494232178,3.681246519088745
pythia_1b,78,1,-0.014291763305664062,-0.0055255889892578125,0.00876617431640625,0.00035995058715343475,0.00030945963226258755,-5.0490954890847206e-05,4.084668159484863,4.391432762145996,0.3067646026611328
pythia_1b,79,1,0.00024634599685668945,0.036810994148254395,0.036564648151397705,8.284725481644273e-05,0.0005875239148736,0.0005046766600571573,4.776464462280273,5.897546768188477,1.1210823059082031
pythia_1b,80,1,0.00668025016784668,0.0067594051361083984,7.915496826171875e-05,0.00034115975722670555,0.00058011244982481,0.00023895269259810448,6.217770099639893,7.831358432769775,1.6135883331298828
pythia_1b,81,1,0.04915452003479004,-0.00534510612487793,-0.05449962615966797,0.0004679452395066619,0.00031076284358277917,-0.00015718239592388272,5.526250839233398,8.973714828491211,3.4474639892578125
pythia_1b,82,1,-0.03426933288574219,0.016849994659423828,0.051119327545166016,0.001230780966579914,0.00038815406151115894,-0.0008426269050687551,5.165699005126953,11.572020530700684,6.4063215255737305
pythia_1b,83,1,-0.03908941149711609,-0.03950315713882446,-0.000413745641708374,0.0017068218439817429,0.0017903521656990051,8.353032171726227e-05,5.911649703979492,11.228562355041504,5.316912651062012
pythia_1b,84,1,0.006882190704345703,0.01795482635498047,0.011072635650634766,0.0002073931973427534,0.0004217466339468956,0.0002143534366041422,6.898074150085449,7.056210517883301,0.15813636779785156
pythia_1b,85,1,-0.006152689456939697,-0.0014231204986572266,0.004729568958282471,0.00017629796639084816,5.766615504398942e-05,-0.00011863181134685874,5.440956115722656,7.847051620483398,2.406095504760742
pythia_1b,87,1,-0.00025069713592529297,0.0011627674102783203,0.0014134645462036133,0.00016537182091269642,0.00022244076535571367,5.7068944443017244e-05,4.267706871032715,8.47568130493164,4.207974433898926
pythia_1b,88,1,-0.02008342742919922,0.00042939186096191406,0.020512819290161133,0.0004254113882780075,0.0004747450293507427,4.933364107273519e-05,4.264016628265381,7.289889335632324,3.0258727073669434
pythia_1b,91,1,0.009337365627288818,-0.017176806926727295,-0.026514172554016113,0.00025162799283862114,0.00041163014248013496,0.00016000214964151382,6.94179630279541,6.198450565338135,-0.7433457374572754
pythia_1b,92,1,0.01236724853515625,0.032604217529296875,0.020236968994140625,0.0005051456391811371,0.00040871952660381794,-9.642611257731915e-05,4.842831611633301,5.746407985687256,0.9035763740539551
pythia_1b,93,1,-0.019028276205062866,-0.0022912323474884033,0.016737043857574463,0.00042174477130174637,0.0004255133680999279,3.768596798181534e-06,6.220164775848389,8.677225112915039,2.4570603370666504
pythia_1b,94,1,0.0020170211791992188,-0.008619308471679688,-0.010636329650878906,0.0004015672020614147,0.0003279510419815779,-7.361616007983685e-05,4.8508195877075195,6.656414031982422,1.8055944442749023
pythia_1b,96,1,0.0024071335792541504,0.0031027793884277344,0.000695645809173584,0.00011317699681967497,0.00014566921163350344,3.249221481382847e-05,4.703298568725586,6.444437503814697,1.7411389350891113
pythia_1b,98,1,0.00015749037265777588,-0.01131846010684967,-0.011475950479507446,6.010777724441141e-06,0.00039315130561590195,0.0003871405278914608,3.6768853664398193,14.40060043334961,10.72371506690979
pythia_1b,99,1,-5.94467855989933e-05,-1.9260449334979057e-05,4.0186336264014244e-05,1.9834988052025437e-06,1.168779817817267e-06,-8.147189873852767e-07,4.494412899017334,4.782978057861328,0.28856515884399414
pythia_1b,100,1,-0.0006284713745117188,0.05310559272766113,0.05373406410217285,0.00039429194293916225,0.0003092213300988078,-8.507061284035444e-05,4.517657279968262,6.880645275115967,2.362987995147705
pythia_1b,101,1,0.016836166381835938,0.02748584747314453,0.010649681091308594,0.00042165699414908886,0.0005976189859211445,0.00017596199177205563,5.789573669433594,8.171396255493164,2.3818225860595703
pythia_1b,102,1,-0.07195281982421875,0.00055694580078125,0.072509765625,0.0003944048658013344,0.00027628301177173853,-0.00011812185402959585,4.020554542541504,9.93919563293457,5.918641090393066
pythia_1b,103,1,-0.058956146240234375,0.00043392181396484375,0.05939006805419922,0.00019350694492459297,0.0003110651741735637,0.00011755822924897075,5.057024955749512,8.12712574005127,3.070100784301758
pythia_1b,104,1,0.004408121109008789,-0.005815029144287109,-0.010223150253295898,0.000228244811296463,0.00023749028332531452,9.245472028851509e-06,4.959262847900391,5.298422336578369,0.3391594886779785
pythia_1b,105,1,-0.00023889541625976562,0.015071392059326172,0.015310287475585938,0.00016053207218647003,0.00041418662294745445,0.0002536545507609844,5.390822410583496,8.37197494506836,2.9811525344848633
pythia_1b,106,1,0.0010557174682617188,-0.02701854705810547,-0.028074264526367188,0.00031944422516971827,0.0009844759479165077,0.0006650317227467895,4.420150279998779,10.520415306091309,6.100265026092529
pythia_1b,107,1,-0.03497445583343506,0.0014802217483520508,0.03645467758178711,0.00054532615467906,0.00025648006703704596,-0.000288846087642014,5.520509243011475,6.4273600578308105,0.9068508148193359
pythia_1b,109,1,-0.004055500030517578,-0.014538407325744629,-0.01048290729522705,0.00013365800259634852,0.0003525310894474387,0.0002188730868510902,3.609088897705078,4.40428352355957,0.7951946258544922
pythia_1b,110,1,0.04286909103393555,-0.0032410621643066406,-0.04611015319824219,0.0005207797512412071,0.00018754421034827828,-0.00033323554089292884,5.948892593383789,6.109218120574951,0.1603255271911621
pythia_1b,111,1,0.004954814910888672,0.002421855926513672,-0.002532958984375,0.0002355106407776475,0.00029574159998446703,6.0230959206819534e-05,5.079625129699707,5.9613261222839355,0.8817009925842285
pythia_1b,113,1,0.040966033935546875,0.040831565856933594,-0.00013446807861328125,0.000420162919908762,0.00034315488301217556,-7.700803689658642e-05,5.214235305786133,7.106322288513184,1.8920869827270508
pythia_1b,114,1,-0.004824638366699219,0.08117103576660156,0.08599567413330078,0.00019762373995035887,0.0004342760657891631,0.00023665232583880424,3.7763266563415527,9.797561645507812,6.02123498916626
