score,layer,neuron,gap,source_mean,control_mean
69.50000000111875,3,2096,69.50000000111875,69.5,-1.118747828817787e-09
68.00000000112178,3,6492,68.00000000112178,68.0,-1.1217776997304383e-09
66.0,3,5870,66.0,66.0,0.0
64.5000000746661,3,7969,64.5000000746661,64.5,-7.466610463268742e-08
64.00000000866439,3,2939,64.00000000866439,64.0,-8.664392403719304e-09
62.7500058635907,3,6086,62.7500058635907,62.75,-5.863590699343788e-06
61.25000001584106,3,5533,61.25000001584106,61.25,-1.584106129034261e-08
61.000000000167226,3,6861,61.000000000167226,61.0,-1.6722611478463413e-10
60.2500000000462,3,6017,60.2500000000462,60.25,-4.620197523141303e-11
58.50000001344249,4,1785,58.50000001344249,58.5,-1.3442484608224119e-08
58.25000012610823,3,5183,58.25000012610823,58.25,-1.261082344951576e-07
58.2500000002101,3,4603,58.2500000002101,58.25,-2.100994994359515e-10
57.50000000020724,3,4999,57.50000000020724,57.5,-2.0724032547612578e-10
55.00000049437037,3,2066,55.00000049437037,55.0,-4.943703668363181e-07
54.0000000728586,3,1777,54.0000000728586,54.0,-7.285859459921907e-08
52.50000000610161,4,1775,52.50000000610161,52.5,-6.101605252982759e-09
52.2500002314483,3,6439,52.2500002314483,52.25,-2.314482970556512e-07
52.25000000170902,5,4858,52.25000000170902,52.25,-1.7090178916880811e-09
51.50000001846952,3,3121,51.50000001846952,51.5,-1.8469524093678737e-08
50.25000004817805,3,5873,50.25000004817805,50.25,-4.8178048505796485e-08
49.75000675878175,3,4469,49.75000675878175,49.75,-6.758781750381488e-06
49.000000219424074,3,6556,49.000000219424074,49.0,-2.1942407652946918e-07
49.00000002602264,5,5763,49.00000002602264,49.0,-2.6022636660266365e-08
48.500000169882775,3,718,48.500000169882775,48.5,-1.698827710346786e-07
46.000011184070765,3,6806,46.000011184070765,46.0,-1.118407076448184e-05
45.75000055184618,3,6139,45.75000055184618,45.75,-5.518461787892926e-07
44.50000005868265,4,7414,44.50000005868265,44.5,-5.868265363419627e-08
44.000000192749376,5,226,44.000000192749376,44.0,-1.9274937750940974e-07
43.000000329824935,3,6927,43.000000329824935,43.0,-3.2982493389783864e-07
42.000000289335446,3,1930,42.000000289335446,42.0,-2.8933544599069674e-07
41.00000013361048,3,4038,41.00000013361048,41.0,-1.3361047936980326e-07
40.00000087480596,3,8006,40.00000087480596,40.0,-8.748059657394144e-07
39.25000155346549,3,7557,39.25000155346549,39.25,-1.553465485461748e-06
38.250000049531295,3,1351,38.250000049531295,38.25,-4.953129127355819e-08
37.000000825404776,3,32,37.000000825404776,37.0,-8.254047739934012e-07
36.750000804008934,3,7127,36.750000804008934,36.75,-8.04008935138452e-07
32.75243349803464,4,4126,32.75243349803464,32.75,-0.002433498034642109
32.25000338238701,3,2647,32.25000338238701,32.25,-3.38238700500572e-06
31.62501183081644,3,4332,31.62501183081644,31.625,-1.1830816440510027e-05
29.62500510119361,3,6133,29.62500510119361,29.625,-5.1011936130267976e-06
28.50000429365583,3,794,28.50000429365583,28.5,-4.293655831333094e-06
28.37500651910886,3,981,28.37500651910886,28.375,-6.519108861621072e-06
27.25000360957657,3,4208,27.25000360957657,27.25,-3.609576569560584e-06
20.625098002624753,3,3220,20.625098002624753,20.625,-9.800262475454085e-05
