score,layer,neuron,gap,source_mean,control_mean
1.912810794263091,5,707,1.912810794263091,2.0,0.08718920573690905
1.8992807335121387,3,5230,1.8992807335121387,1.859375,-0.039905733512138684
1.894740977033763,2,4024,1.894740977033763,1.8515625,-0.043178477033763124
1.8898510261650907,4,2765,1.8898510261650907,1.828125,-0.06172602616509064
1.8810416101187286,1,5189,1.8810416101187286,1.828125,-0.05291661011872864
1.8673056763823745,5,5102,1.8673056763823745,1.8828125,0.01550682361762541
1.8568042852246236,4,2078,1.8568042852246236,1.8046875,-0.052116785224623624
1.8532674958110813,2,3840,1.8532674958110813,1.7890625,-0.06420499581108138
1.849218882554787,1,6971,1.849218882554787,1.7890625,-0.060156382554786995
1.843445542594657,2,6405,1.843445542594657,1.7890625,-0.05438304259465691
1.8429719339142383,2,5655,1.8429719339142383,1.7734375,-0.06953443391423833
1.8397424600181786,2,3532,1.8397424600181786,1.78125,-0.058492460018178614
1.8303363975097358,2,1029,1.8303363975097358,1.78125,-0.049086397509735834
1.8237795021681626,2,7368,1.8237795021681626,1.765625,-0.05815450216816258
1.818120450038146,1,4917,1.818120450038146,1.765625,-0.05249545003814606
1.8033391170315975,2,501,1.8033391170315975,1.7421875,-0.06115161703159759
1.8011742588697057,4,4117,1.8011742588697057,1.7421875,-0.05898675886970578
1.795016003562204,5,2986,1.795016003562204,1.8203125,0.025296496437796058
1.794779989242727,2,3994,1.794779989242727,1.75,-0.044779989242727025
1.7930928555405616,6,3157,1.7930928555405616,1.734375,-0.05871785554056157
1.7865735680802124,4,4534,1.7865735680802124,1.7265625,-0.06001106808021235
1.7784881106208426,2,7694,1.7784881106208426,1.703125,-0.07536311062084254
1.7695508851472546,2,5645,1.7695508851472546,1.703125,-0.06642588514725453
1.7669380836320572,5,6601,1.7669380836320572,1.765625,-0.001313083632057123
1.7525343375177314,2,2286,1.7525343375177314,1.6953125,-0.057221837517731314
1.7491154228045644,2,633,1.7491154228045644,1.6796875,-0.0694279228045644
1.7484313462571863,4,7955,1.7484313462571863,1.78125,0.03281865374281361
1.746223671442828,4,3222,1.746223671442828,1.6953125,-0.05091117144282816
1.7413979294992479,2,3139,1.7413979294992479,1.6796875,-0.061710429499247856
1.7226916843009494,2,8077,1.7226916843009494,1.6640625,-0.05862918430094936
1.7139318283876714,1,7298,1.7139318283876714,1.6171875,-0.09674432838767155
1.7114929523457583,2,3545,1.7114929523457583,1.65625,-0.055242952345758344
1.707289734906418,2,4623,1.707289734906418,1.65625,-0.051039734906417965
1.6909396780016752,2,1472,1.6909396780016752,1.6328125,-0.05812717800167513
1.6765239793151194,2,619,1.6765239793151194,1.609375,-0.06714897931511944
1.6459938819544755,4,7943,1.6459938819544755,1.5703125,-0.07568138195447559
1.6442321714155834,1,7148,1.6442321714155834,1.578125,-0.06610717141558348
1.6387934691034924,2,1840,1.6387934691034924,1.5703125,-0.06848096910349236
1.6068184624345498,5,6826,1.6068184624345498,1.546875,-0.05994346243454979
1.6013756037971054,4,5333,1.6013756037971054,1.5234375,-0.0779381037971054
1.6012157401955802,4,2353,1.6012157401955802,1.53125,-0.06996574019558022
1.5883283162352293,4,6574,1.5883283162352293,1.5078125,-0.08051581623522931
1.5831312360952108,4,1959,1.5831312360952108,1.5234375,-0.05969373609521085
1.580656480657341,1,1295,1.580656480657341,1.5703125,-0.010343980657341089
1.5798437353792552,4,3069,1.5798437353792552,1.5078125,-0.07203123537925521
1.5767395124184613,2,5168,1.5767395124184613,1.515625,-0.061114512418461296
1.5742514139840138,2,4102,1.5742514139840138,1.515625,-0.05862641398401379
1.569089529941344,4,3309,1.569089529941344,1.515625,-0.05346452994134417
1.5679587392695458,2,2160,1.5679587392695458,1.5,-0.06795873926954586
1.5664118148481159,2,7575,1.5664118148481159,1.484375,-0.08203681484811583
1.5635330961164233,2,5005,1.5635330961164233,1.5,-0.06353309611642344
1.5615548367694796,2,1169,1.5615548367694796,1.515625,-0.0459298367694795
1.5588242684747367,2,4915,1.5588242684747367,1.515625,-0.043199268474736555
1.5554245836325369,2,5418,1.5554245836325369,1.484375,-0.071049583632537
1.5492055248264847,2,7695,1.5492055248264847,1.4765625,-0.0726430248264847
