seed,source_path,step,eval_split,selection_split,selection_examples,eval_examples,chunk_size,topk,random_controls,num_dummy_tokens,dummy_init,relocation_scale,relocation_fraction,preserve_original,selected_score_mass,selected_score_mean,selected_layers,zero_ppl_ratio,zero_mean_bos_retention,zero_max_head_bos_retention,random_zero_ppl_ratio_mean,random_zero_max_head_bos_retention,dummy_only_dummy_minus_bos_mean,dummy_only_dummy_attention_after_mean,dummy_only_bos_attention_after_mean,dummy_only_ppl_ratio,selected_dummy_minus_bos_mean,selected_dummy_minus_bos_max_layer,selected_dummy_attention_after_mean,selected_bos_attention_after_mean,selected_dummy_attention_after_max_head,selected_bos_attention_after_max_head,selected_relocation_lift_vs_dummy_only,selected_ppl_ratio,random_dummy_minus_bos_mean,random_dummy_minus_bos_std,random_dummy_attention_after_mean,random_bos_attention_after_mean,random_ppl_ratio_mean,random_ppl_ratio_std,selected_dummy_minus_bos_by_layer,random_dummy_minus_bos_values,clean_loss,clean_ppl,clean_mean_bos_attention,clean_max_head_bos_attention,clean_max_head_bos_layer,clean_max_head_bos_head,clean_qk_margin_at_max_head,clean_max_qk_margin
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,0,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,11.398269653320312,0.35619592666625977,0 0 1 0 3 0 0 1 1 3 0 0 0 0 0 3 0 0 2 1 0 1 0 1 1 0 0 2 2 0 2 2,0.999651871864973,1.0011651515960693,1.0001652240753174,0.9999799724907098,1.000030243396759,-0.0001992727629840374,0.031097374856472015,0.03129664435982704,0.9985124068196771,-0.0001801629550755024,-4.5880675315856934e-05,0.03112052008509636,0.031300682574510574,0.03180474787950516,0.03187434375286102,1.9109807908535004e-05,0.9953425982966833,3.987308591604233e-05,0.00021252001989094458,0.03128775283694267,0.031247880682349204,0.998752249913079,0.0008382747121048703,-0.000162706 -0.000309598 -4.58807e-05 -0.000202468,-0.000108637 -9.27541e-05 -0.000139302 0.000231517 0.000308541,10.83228368083323,50629.19579284849,0.03501255810260773,0.03575548157095909,1,0,-0.08206173032522202,-0.07394261658191681
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,1000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,17.919401168823242,0.5599812865257263,2 0 1 0 0 3 3 3 2 0 1 1 0 1 0 1 3 3 3 0 0 0 0 2 0 1 1 1 1 1 2 3,1.0009560834772175,0.887684166431427,1.0,1.0000002830563233,1.0,-0.02263294719159603,0.016414733603596687,0.03904768452048302,1.0073410116787274,0.03146486356854439,0.08741118758916855,0.06051976978778839,0.029054908081889153,0.14073191583156586,0.07700572907924652,0.05409781076014042,1.0206822128443043,0.015765743143856526,0.013395534117202255,0.0491523802280426,0.03338663727045059,1.0252405421338808,0.011257613840263275,-0.0223618 0.0696514 0.0874112 -0.00884126,0.0291669 0.0147777 0.00782234 0.0287642 -0.00170243,6.062548870176781,429.468702939528,0.04024345427751541,0.07022718340158463,0,3,-0.0749867707490921,-0.0749867707490921
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,2000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,17.751758575439453,0.5547424554824829,3 2 3 3 1 3 3 0 0 0 3 0 0 2 1 2 2 3 1 2 2 0 3 0 0 1 3 3 1 0 2 1,1.0021763216812667,0.8605976104736328,0.7902862429618835,1.0000574375087847,1.0096639752388001,-0.029267212375998497,0.01283886469900608,0.04210607707500458,1.0060163954886678,0.042997900396585464,0.1345934420824051,0.07347889244556427,0.030480992048978806,0.173028364777565,0.06890620291233063,0.07226511277258396,1.0645416094808058,0.023577865958213807,0.01617515322613903,0.05839490443468094,0.03481704220175743,1.0724042129086004,0.030136421297783766,-0.0343868 0.0657017 0.134593 0.00608332,-0.00431966 0.033465 0.0271436 0.0256293 0.0359711,5.772852679875892,321.45342966098667,0.043091680854558945,0.08429557830095291,3,3,-0.39132019877433777,0.27975791692733765
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,3000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,19.97604751586914,0.6242514848709106,3 3 3 2 3 3 3 1 3 3 3 0 3 0 2 3 0 0 3 2 3 0 3 3 0 1 0 3 0 3 1 3,1.0027474357464612,0.8112414479255676,0.752173900604248,1.000142912113343,0.9637319922447205,-0.03833620250225067,0.01013500802218914,0.04847121238708496,1.0065923597878215,0.05303936451673508,0.12264222651720047,0.08207706362009048,0.029037704691290855,0.1512349247932434,0.07707984745502472,0.09137556701898575,1.100312060456678,-0.01084288563579321,0.009212682990847603,0.03247752785682678,0.04332041516900063,1.0600003378108471,0.027933124547752715,-0.0490441 0.08707 0.122642 0.0514893,0.000927437 -0.00809405 -0.0185273 -0.00681076 -0.0217098,5.672249861589567,290.6878065607255,0.04934677109122276,0.10805904120206833,3,3,-0.5309156775474548,0.4805486798286438
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,4000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,22.126811981201172,0.6914628744125366,3 3 3 3 2 3 3 1 3 3 3 0 3 3 0 2 3 0 0 3 0 2 3 3 3 0 0 1 1 3 3 0,1.002157568088643,0.8217675685882568,0.718461275100708,0.9999703128505008,0.9851179957389832,-0.04615645110607147,0.010118653997778893,0.056275106966495514,1.005812929350684,0.04540470242500305,0.0998210459947586,0.07934939861297607,0.03394469618797302,0.15208317339420319,0.08869212120771408,0.09156115353107452,1.0929017739882578,-0.014296804368495942,0.012587205610196512,0.03590335063636303,0.050200155377388,1.061961502446915,0.01871147997100266,-0.0612518 0.0966802 0.099821 0.0463694,-0.0132851 -0.0169608 -0.0145276 0.00430549 -0.031016,5.682010800819698,293.5390855176652,0.05719781666994095,0.12898200750350952,3,2,-1.0642921924591064,0.6728005409240723
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,5000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,23.273109436035156,0.7272846698760986,3 3 3 3 2 3 3 3 1 0 3 2 2 3 0 3 0 0 3 3 3 2 3 0 3 0 3 3 0 0 0 0,1.0051354991683445,0.8390874862670898,0.7403336763381958,1.0001069878072215,0.997640335559845,-0.05268611013889313,0.008136849850416183,0.06082295626401901,1.0015230715291805,0.02372894249856472,0.06920819729566574,0.05999162420630455,0.03626267984509468,0.1504051238298416,0.0923675075173378,0.07641505263745785,1.04831566474496,-0.008471251092851162,0.016313290832684228,0.043598772585392,0.05207002311944962,1.1083750719260612,0.04093553758071145,-0.0700889 0.0692082 0.044115 0.0516814,-0.0197292 0.00937555 -0.0200084 -0.0213902 0.009396,5.7458426407941685,312.88716827145464,0.06190475448966026,0.15503095090389252,3,2,-1.058502435684204,0.7484142780303955
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,6000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,23.2089900970459,0.7252809405326843,3 3 3 2 3 3 3 2 3 3 0 2 1 3 0 3 0 3 0 3 3 0 2 0 3 3 0 2 2 1 0 0,1.005195853271559,0.8289302587509155,0.7013962864875793,0.9999672463902026,0.9974863767623902,-0.05527622997760773,0.007978586480021477,0.06325481832027435,0.9987541276227256,0.02387409657239914,0.07619049400091171,0.06149537116289139,0.03762127459049225,0.13126160204410553,0.10179297626018524,0.07915032655000687,1.0607146890699086,-0.02350478246808052,0.014528114000839894,0.03238330036401749,0.055888081341981886,1.0896525114285214,0.03719151898575728,-0.0794478 0.0761905 0.050279 0.0484748,-0.0360062 -0.035644 -0.0303046 -0.00753432 -0.0080347,5.815059271384412,335.3112722754444,0.06459864974021912,0.17124992609024048,3,2,-1.0717861652374268,0.8291983604431152
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,7000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,23.901012420654297,0.7469066381454468,3 3 2 3 3 2 3 1 0 3 2 3 3 3 3 0 0 0 3 3 2 3 3 3 3 3 2 0 3 0 2 0,1.003223587632283,0.8593859076499939,0.7791063189506531,1.000128724905088,0.9926102638244629,-0.05887039750814438,0.007648224011063576,0.0665186196565628,0.9974111187791983,0.016049742698669434,0.06729651242494583,0.05723696947097778,0.04118722677230835,0.13574941456317902,0.10974372923374176,0.07492014020681381,1.0550394715082847,-0.02178123462945223,0.019559226544273358,0.0371783010661602,0.058959534764289855,1.155599898174263,0.13590300256206506,-0.0852544 0.0672965 0.0393058 0.0428511,-0.021897 -0.0367247 -0.0175699 -0.0411601 0.00844549,5.905546173335999,367.06765361322846,0.06793437153100967,0.1804671734571457,3,2,-1.1104482412338257,0.8815937042236328
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,8000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,24.286874771118164,0.7589648365974426,3 2 3 3 3 2 2 1 0 3 3 3 0 3 0 3 2 3 0 3 2 3 3 2 3 3 3 2 0 3 3 3,1.0058281134263993,0.8457193970680237,0.7238785624504089,0.9999891285256375,0.9968340158462524,-0.06222029775381088,0.006865161471068859,0.06908545643091202,0.9935481490481782,0.026345713064074516,0.08713837713003159,0.06774746626615524,0.041401755064725876,0.16222693026065826,0.1175491064786911,0.0885660108178854,1.0546267694552118,-0.03844549506902695,0.005123141564378832,0.025556901842355727,0.0640023946762085,1.0522858180221528,0.018176145723977293,-0.0911037 0.0871384 0.0443128 0.0650354,-0.0345935 -0.0338474 -0.0448166 -0.035862 -0.0431081,6.043812038391594,421.49673800291407,0.07028593122959137,0.192057266831398,3,2,-1.0363938808441162,0.9253659248352051
0,outputs/toy_pretrained_bridge/wikitext_pythia_tokenizer_10k_scale10_test512/toy_relocation_bridge_metrics.csv,9000,test,train,512,512,32,32,5,1,zero,10.0,1.0,False,23.845457077026367,0.745170533657074,3 2 3 3 3 2 1 0 2 3 0 3 3 3 3 3 3 0 0 3 2 2 2 3 3 2 3 3 2 3 3 3,1.0032941936410915,0.8542690277099609,0.7382139563560486,1.0000042293684266,0.9954511165618897,-0.06545113027095795,0.006157200317829847,0.07160832732915878,0.9951009801103265,0.015688687562942505,0.062051862478256226,0.0594601109623909,0.043771423399448395,0.16419173777103424,0.13403764367103577,0.08113981783390045,1.0531636070819037,-0.04658490344882012,0.007534909755564084,0.021398214064538477,0.06798311918973923,1.0548628087834924,0.02284413605349042,-0.100534 0.0620519 0.0407999 0.0604372,-0.0416079 -0.0592231 -0.0478985 -0.0415474 -0.0426476,6.157947540283203,472.4573792799593,0.07261406630277634,0.21018347144126892,3,2,-0.9753816723823547,0.9651038646697998
