model_key,condition,candidate_group,example_idx,mode,scale,clean_nll,intervened_nll,delta_nll,output_kl,bos_attention,dummy_attention,dummy_minus_bos,tokens
llama3_2_3b,dummy_only,selected,0,blank_dummy,0.0,2.2571060911534704,2.250913558467742,-0.006192532685728391,0.015327704139053822,0.6638263463973999,0.0019089312991127372,-0.6619173884391785,1023
llama3_2_3b,dummy_only,selected,1,blank_dummy,0.0,2.44931659717131,2.429921378604594,-0.019395218566715666,0.01395086944103241,0.6092091798782349,0.0019111077999696136,-0.6072980761528015,1023
llama3_2_3b,dummy_only,selected,2,blank_dummy,0.0,2.153451093597263,2.1431494570197946,-0.010301636577468187,0.010048690252006054,0.6502386927604675,0.0019476247252896428,-0.6482910513877869,1023
llama3_2_3b,dummy_only,selected,3,blank_dummy,0.0,2.389263015105694,2.3810765479899803,-0.008186467115713914,0.014776062220335007,0.6613593101501465,0.0019393343245610595,-0.6594199538230896,1023
llama3_2_3b,dummy_only,selected,4,blank_dummy,0.0,2.3328708264601663,2.331917174517351,-0.0009536519428152701,0.016503578051924706,0.6544455289840698,0.0020332233980298042,-0.6524122953414917,1023
llama3_2_3b,dummy_only,selected,5,blank_dummy,0.0,1.9719536595796676,1.9610880891831624,-0.010865570396505264,0.01096841786056757,0.6360167860984802,0.0019207969307899475,-0.6340959668159485,1023
llama3_2_3b,dummy_only,selected,6,blank_dummy,0.0,1.4012535893206257,1.3986964370265151,-0.002557152294110576,0.009965776465833187,0.6507337689399719,0.001827307976782322,-0.6489064693450928,1023
llama3_2_3b,dummy_only,selected,7,blank_dummy,0.0,1.789921407242791,1.77506391090848,-0.014857496334310882,0.0179272573441267,0.6193143725395203,0.001973056234419346,-0.6173413395881653,1023
llama3_2_3b,dummy_only,selected,8,blank_dummy,0.0,1.9837425731610459,1.9697808557474952,-0.013961717413550678,0.016994204372167587,0.6103771924972534,0.0019737763796001673,-0.6084034442901611,1023
llama3_2_3b,dummy_only,selected,9,blank_dummy,0.0,2.2229249717436463,2.2159914257239737,-0.006933546019672665,0.014486303552985191,0.6153529286384583,0.002096576848998666,-0.6132563352584839,1023
llama3_2_3b,dummy_only,selected,10,blank_dummy,0.0,2.1280664348881966,2.1230645352211632,-0.005001899667033349,0.012330565601587296,0.6232203841209412,0.0018302325624972582,-0.621390163898468,1023
llama3_2_3b,dummy_only,selected,11,blank_dummy,0.0,2.2332342451735094,2.2304510897788368,-0.002783155394672665,0.012784978374838829,0.6285523772239685,0.0018386313458904624,-0.626713752746582,1023
llama3_2_3b,dummy_only,selected,12,blank_dummy,0.0,2.19048982771261,2.179644065402004,-0.010845762310605966,0.012342622503638268,0.615857720375061,0.0017356860917061567,-0.6141220331192017,1023
llama3_2_3b,dummy_only,selected,13,blank_dummy,0.0,2.2699269344147117,2.2661154291147363,-0.003811505299975426,0.011544688604772091,0.6076580286026001,0.0018468601629137993,-0.6058111786842346,1023
llama3_2_3b,dummy_only,selected,14,blank_dummy,0.0,2.1771191310789346,2.173409768679741,-0.0037093623991935054,0.013502441346645355,0.5989408493041992,0.0018388924654573202,-0.5971019864082336,1023
llama3_2_3b,dummy_only,selected,15,blank_dummy,0.0,2.4150982481060606,2.413423152263563,-0.001675095842497587,0.02070518210530281,0.6059322357177734,0.0019438317976891994,-0.6039884090423584,1023
llama3_2_3b,dummy_only,selected,16,blank_dummy,0.0,2.4367234275720917,2.4281620387341154,-0.008561388837976303,0.02696787752211094,0.603347897529602,0.0021039885468780994,-0.6012439131736755,1023
llama3_2_3b,dummy_only,selected,17,blank_dummy,0.0,2.3752181275965296,2.3605107431421066,-0.01470738445442299,0.024543240666389465,0.6124305725097656,0.0019503693329170346,-0.6104801893234253,1023
llama3_2_3b,dummy_only,selected,18,blank_dummy,0.0,2.3328808498289346,2.3182997120906648,-0.014581137738269856,0.013012154027819633,0.6113563776016235,0.0019950412679463625,-0.6093613505363464,1023
llama3_2_3b,dummy_only,selected,19,blank_dummy,0.0,2.3742250981335533,2.3723748319892475,-0.0018502661443058344,0.015402662567794323,0.6339742541313171,0.001932716928422451,-0.6320415139198303,1023
llama3_2_3b,dummy_only,selected,20,blank_dummy,0.0,2.1845841542949658,2.1807693078720676,-0.0038148464228981993,0.016126250848174095,0.6176725625991821,0.0020387780386954546,-0.6156337857246399,1023
llama3_2_3b,dummy_only,selected,21,blank_dummy,0.0,1.9240136766480327,1.9130304509943181,-0.010983225653714568,0.015109742060303688,0.6319085359573364,0.001987914554774761,-0.6299206018447876,1023
llama3_2_3b,dummy_only,selected,22,blank_dummy,0.0,1.889984220353739,1.8863295091794965,-0.003654711174242431,0.013953609392046928,0.6041795015335083,0.0020330208353698254,-0.6021465063095093,1023
