variant,bos_positions,seeds,n_seeds,loss_mean,loss_std,ppl_mean,ppl_std,pos0_attention_mean_mean,pos0_attention_mean_std,control_attention_mean_mean,control_attention_mean_std,pos0_minus_control_attention_mean,pos0_minus_control_attention_std,bos_attention_sum_mean_mean,bos_attention_sum_mean_std,bos_attention_max_position_mean_mean,bos_attention_max_position_mean_std,bos_attention_max_head_over_positions_mean,bos_attention_max_head_over_positions_std
single_0,0,0 1,2,6.294573545455933,0.0023180766680991715,541.6255187988281,1.2555202253111484,0.08285391703248024,0.0013002355449171447,0.012914507649838924,0.00019247016917007742,0.06993940938264132,0.001492705714087222,0.08285391703248024,0.0013002355449171447,0.08285391703248024,0.0013002355449171447,0.2449672669172287,0.011721565406486016
no_bos,none,0,1,6.259572505950928,0.0,522.995361328125,0.0,0.024553339928388596,0.0,0.015397107228636742,0.0,0.009156232699751854,0.0,0.0,0.0,nan,0.0,nan,0.0
single_8,8,0,1,6.212745189666748,0.0,499.06939697265625,0.0,0.02229198068380356,0.0,0.017587104812264442,0.0,0.004704875871539116,0.0,0.01126627903431654,0.0,0.01126627903431654,0.0,0.047323934733867645,0.0
single_32,32,0,1,6.213384628295898,0.0,499.3886413574219,0.0,0.021878359839320183,0.0,0.017605353146791458,0.0,0.004273006692528725,0.0,0.0065268538892269135,0.0,0.0065268538892269135,0.0,0.02155662514269352,0.0
"duplicate_0,8",0 8,0,1,6.217719554901123,0.0,501.5581359863281,0.0,0.08840923011302948,0.0,0.01400727778673172,0.0,0.07440195232629776,0.0,0.10181541554629803,0.0,0.08840923011302948,0.0,0.2787139117717743,0.0
"duplicate_0,32",0 32,0,1,6.233293533325195,0.0,509.4305419921875,0.0,0.07642745226621628,0.0,0.013194505125284195,0.0,0.06323294714093208,0.0,0.08366251504048705,0.0,0.07642745226621628,0.0,0.2687470018863678,0.0
