bos_position,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,bos_position_attention_mean,bos_position_attention_max_head,next_position_attention_mean,next_position_attention_max_head,bos_minus_pos0_attention,bos_minus_next_attention,bos_qk_margin_mean,bos_qk_margin_max_head,pos0_qk_margin_mean,pos0_qk_margin_max_head,pos0_attention_by_layer,bos_position_attention_by_layer,next_position_attention_by_layer
0,10000,13.132004737854004,504844.0,0.060984231531620026,0.10170163214206696,0.060984231531620026,0.10170163214206696,0.010442016646265984,0.017875254154205322,0.0,0.05054221488535404,-4.426180362701416,-2.7317252159118652,-4.426180362701416,-2.7317252159118652,0.0871636 0.0644306 0.0503667 0.0419761,0.0871636 0.0644306 0.0503667 0.0419761,0.0113655 0.00840505 0.00759124 0.0144063
2,10000,13.20207691192627,541488.375,0.017704688012599945,0.020474418997764587,0.0190815981477499,0.04800493270158768,0.011671604588627815,0.014006389304995537,0.0013769101351499557,0.007409993559122086,-7.216399192810059,-4.1177873611450195,-7.16734504699707,-5.183079719543457,0.0184961 0.0195038 0.0168102 0.0160086,0.0419389 0.012914 0.0100696 0.0114039,0.0106596 0.013185 0.0106257 0.0122161
4,10000,13.124872207641602,501256.0,0.02034471556544304,0.024703674018383026,0.011468309909105301,0.020712580531835556,0.013416728004813194,0.01657269150018692,-0.008876405656337738,-0.0019484180957078934,-7.453286170959473,-5.144611358642578,-6.8342413902282715,-4.754388809204102,0.0232937 0.022014 0.0177052 0.018366,0.0185117 0.00796057 0.00728743 0.0121135,0.0135482 0.0134042 0.0124811 0.0142335
8,10000,13.222624778747559,552729.9375,0.01952538825571537,0.025402477011084557,0.0058514997363090515,0.016629992052912712,0.011467868462204933,0.013472344726324081,-0.013673888519406319,-0.005616368725895882,-8.047586441040039,-5.0637946128845215,-6.864190101623535,-4.564306735992432,0.0229537 0.0196819 0.0174401 0.0180259,0.00732854 0.0040191 0.00526212 0.00679625,0.0107821 0.0109647 0.0119247 0.0121999
16,10000,13.019179344177246,450980.46875,0.01960379257798195,0.024334916844964027,0.003812273731455207,0.012344288639724255,0.011136328801512718,0.012668146751821041,-0.015791518846526742,-0.007324055070057511,-8.707476615905762,-5.655982494354248,-7.180902004241943,-5.0720086097717285,0.0229523 0.0195426 0.0170574 0.0188628,0.00785717 0.00174196 0.00190522 0.00374475,0.0120331 0.0108854 0.0101565 0.0114703
32,10000,13.023819923400879,453078.15625,0.01862451806664467,0.02340448461472988,0.001652872422710061,0.003491903655230999,0.010507749393582344,0.012157963588833809,-0.016971645643934608,-0.008854876970872283,-8.188661575317383,-5.114645957946777,-6.81510066986084,-4.636904239654541,0.0217714 0.019271 0.0145452 0.0189105,0.000902343 0.00118729 0.00152285 0.00299901,0.00991977 0.010122 0.0104127 0.0115765
64,10000,12.987929344177246,437105.25,0.017824796959757805,0.024177171289920807,0.001458620885387063,0.0027585907373577356,0.014140869490802288,0.015437710098922253,-0.016366176074370742,-0.012682248605415225,-7.305316925048828,-4.204495429992676,-7.221762657165527,-3.9868531227111816,0.0226715 0.0189033 0.0142205 0.0155039,0.00139864 0.000660566 0.00182965 0.00194562,0.0148569 0.0141957 0.0132527 0.0142582
