model_key,condition,candidate_group,example_idx,mode,scale,clean_nll,intervened_nll,delta_nll,output_kl,bos_attention,dummy_attention,dummy_minus_bos,tokens
qwen3_4b,dummy_only,selected,0,blank_dummy,0.0,2.6850590710532747,2.6676866637646626,-0.017372407288612113,0.01044052466750145,0.22731764614582062,0.22743946313858032,0.00012181699275970459,1023
qwen3_4b,dummy_only,selected,1,blank_dummy,0.0,2.752518968032136,2.715812675647605,-0.036706292384530936,0.012237046845257282,0.22481372952461243,0.22491897642612457,0.000105246901512146,1023
qwen3_4b,dummy_only,selected,2,blank_dummy,0.0,2.829164566532258,2.7870831233198925,-0.04208144321236551,0.01666579581797123,0.23604615032672882,0.236245796084404,0.0001996457576751709,1023
qwen3_4b,dummy_only,selected,3,blank_dummy,0.0,2.968945932994257,2.943250072550098,-0.02569586044415928,0.01527492981404066,0.23087936639785767,0.23103030025959015,0.0001509338617324829,1023
qwen3_4b,dummy_only,selected,4,blank_dummy,0.0,2.9354289810911536,2.8973850462793256,-0.038043934811827995,0.015581837855279446,0.24678999185562134,0.24713192880153656,0.00034193694591522217,1023
qwen3_4b,dummy_only,selected,5,blank_dummy,0.0,2.8662629635569403,2.8531597954087244,-0.013103168148215882,0.01870550401508808,0.22761739790439606,0.2278793603181839,0.0002619624137878418,1023
qwen3_4b,dummy_only,selected,6,blank_dummy,0.0,2.9538843895100197,2.929723775048876,-0.024160614461143926,0.018079934641718864,0.2334505170583725,0.23361583054065704,0.0001653134822845459,1023
qwen3_4b,dummy_only,selected,7,blank_dummy,0.0,3.027987393465909,2.998150211158969,-0.029837182306940324,0.0157933309674263,0.2542296051979065,0.2544949948787689,0.00026538968086242676,1023
qwen3_4b,dummy_only,selected,8,blank_dummy,0.0,3.0714496750519307,3.016802507178641,-0.054647167873289604,0.017415067180991173,0.24392420053482056,0.2440858632326126,0.00016166269779205322,1023
qwen3_4b,dummy_only,selected,9,blank_dummy,0.0,2.1533451322702835,2.120070889082356,-0.0332742431879276,0.012232519686222076,0.23554828763008118,0.23581205308437347,0.00026376545429229736,1023
qwen3_4b,dummy_only,selected,10,blank_dummy,0.0,2.400093981014785,2.3530753127291058,-0.047018668285679244,0.015006654895842075,0.2304462045431137,0.23067231476306915,0.00022611021995544434,1023
qwen3_4b,dummy_only,selected,11,blank_dummy,0.0,2.1105219597690614,2.042685470506476,-0.06783648926258534,0.017996879294514656,0.23049364984035492,0.23069548606872559,0.0002018362283706665,1023
qwen3_4b,dummy_only,selected,12,blank_dummy,0.0,2.6230242030944524,2.529929301838954,-0.09309490125549846,0.015927517786622047,0.22323274612426758,0.22332222759723663,8.948147296905518e-05,1023
qwen3_4b,dummy_only,selected,13,blank_dummy,0.0,2.869547764693304,2.832592797302664,-0.03695496739064019,0.01543502602726221,0.2198621779680252,0.22007468342781067,0.00021250545978546143,1023
qwen3_4b,dummy_only,selected,14,blank_dummy,0.0,2.906862857404692,2.819933998503177,-0.08692885890151514,0.023673731833696365,0.22638140618801117,0.22647325694561005,9.185075759887695e-05,1023
qwen3_4b,dummy_only,selected,15,blank_dummy,0.0,2.7705927724828934,2.73910793927175,-0.03148483321114348,0.018188845366239548,0.2264624685049057,0.22656917572021484,0.00010670721530914307,1023
qwen3_4b,dummy_only,selected,16,blank_dummy,0.0,2.7965628436583576,2.764022215603617,-0.03254062805474067,0.0153365358710289,0.23096413910388947,0.2311539649963379,0.0001898258924484253,1023
qwen3_4b,dummy_only,selected,17,blank_dummy,0.0,2.896408006476051,2.850955370234604,-0.04545263624144669,0.014288080856204033,0.23104053735733032,0.23124271631240845,0.000202178955078125,1023
qwen3_4b,dummy_only,selected,18,blank_dummy,0.0,2.7963561713404204,2.7705221315982405,-0.025834039742179904,0.0125865638256073,0.2262830287218094,0.22656147181987762,0.0002784430980682373,1023
qwen3_4b,dummy_only,selected,19,blank_dummy,0.0,2.646505137692449,2.6309980316012953,-0.015507106091153577,0.012734566815197468,0.228432759642601,0.22861716151237488,0.00018440186977386475,1023
qwen3_4b,dummy_only,selected,20,blank_dummy,0.0,2.7244299089687196,2.7086824806787635,-0.015747428289956122,0.01132266502827406,0.22868916392326355,0.2288113385438919,0.00012217462062835693,1023
qwen3_4b,dummy_only,selected,21,blank_dummy,0.0,3.002608701047776,2.9787781418010755,-0.023830559246700744,0.014383135363459587,0.23201604187488556,0.23223760724067688,0.0002215653657913208,1023
qwen3_4b,dummy_only,selected,22,blank_dummy,0.0,2.9390736688966275,2.918936243737781,-0.020137425158846423,0.013671117834746838,0.22922345995903015,0.22935359179973602,0.00013013184070587158,1023
qwen3_4b,dummy_only,selected,23,blank_dummy,0.0,2.9096228635905423,2.886138826521261,-0.02348403706928126,0.010771515779197216,0.23390062153339386,0.23404118418693542,0.00014056265354156494,1023
qwen3_4b,dummy_only,selected,24,blank_dummy,0.0,2.844790998442082,2.807680191532258,-0.037110806909824046,0.016478750854730606,0.23112355172634125,0.23131830990314484,0.00019475817680358887,1023
qwen3_4b,dummy_only,selected,25,blank_dummy,0.0,2.92509011485826,2.859797652049731,-0.06529246280852918,0.02039542980492115,0.2308424860239029,0.2310464084148407,0.00020392239093780518,1023
qwen3_4b,dummy_only,selected,26,blank_dummy,0.0,2.5509172814332843,2.504108626588465,-0.04680865484481922,0.021751977503299713,0.22629758715629578,0.2264704704284668,0.0001728832721710205,1023
qwen3_4b,dummy_only,selected,27,blank_dummy,0.0,2.444902019183773,2.3841713824230206,-0.06073063676075252,0.015268906950950623,0.21901416778564453,0.21913450956344604,0.00012034177780151367,1023
qwen3_4b,dummy_only,selected,28,blank_dummy,0.0,2.7112281776942817,2.701868499129399,-0.009359678564882845,0.012087181210517883,0.223947212100029,0.2240603268146515,0.00011311471462249756,1023
qwen3_4b,dummy_only,selected,29,blank_dummy,0.0,2.9250507373380987,2.8609212239583335,-0.06412951337976525,0.022029533982276917,0.23261938989162445,0.23275311291217804,0.00013372302055358887,1023
qwen3_4b,dummy_only,selected,30,blank_dummy,0.0,3.1097131693701123,3.056930825391007,-0.052782343979105306,0.015534699894487858,0.23128564655780792,0.2314027100801468,0.00011706352233886719,1023
qwen3_4b,dummy_only,selected,31,blank_dummy,0.0,2.539289219055474,2.5115407158785437,-0.027748503176930228,0.015816761180758476,0.23181737959384918,0.2319452464580536,0.00012786686420440674,1023
qwen3_4b,dummy_only,selected,32,blank_dummy,0.0,3.0328165093475072,3.020837390411168,-0.011979118936339184,0.014889865182340145,0.23129568994045258,0.23139603435993195,0.00010034441947937012,1023
qwen3_4b,dummy_only,selected,33,blank_dummy,0.0,3.163026035939027,3.109349225623167,-0.053676810315860024,0.016264714300632477,0.22813177108764648,0.22834110260009766,0.00020933151245117188,1023
qwen3_4b,dummy_only,selected,34,blank_dummy,0.0,3.2185724431818183,3.179656236635508,-0.03891620654631023,0.017018236219882965,0.2310308963060379,0.23133209347724915,0.0003011971712112427,1023
qwen3_4b,dummy_only,selected,35,blank_dummy,0.0,2.671246868890518,2.6171564752871457,-0.05409039360337253,0.014325777068734169,0.23016567528247833,0.23026588559150696,0.00010021030902862549,1023
qwen3_4b,dummy_only,selected,36,blank_dummy,0.0,3.406963091092375,3.3455062373991935,-0.06145685369318166,0.02324529178440571,0.2345922738313675,0.23475991189479828,0.00016763806343078613,1023
qwen3_4b,dummy_only,selected,37,blank_dummy,0.0,2.4704091061827955,2.441705757804863,-0.028703348377932425,0.017613504081964493,0.22824515402317047,0.22839628159999847,0.00015112757682800293,1023
qwen3_4b,dummy_only,selected,38,blank_dummy,0.0,2.432841997342375,2.4179558628115836,-0.014886134530791573,0.017812099307775497,0.231797456741333,0.23191584646701813,0.00011838972568511963,1023
qwen3_4b,dummy_only,selected,39,blank_dummy,0.0,2.5990666811766863,2.5638070950177174,-0.03525958615896885,0.01424236036837101,0.2255174070596695,0.2257135659456253,0.00019615888595581055,1023
qwen3_4b,dummy_only,selected,40,blank_dummy,0.0,2.6283239400048877,2.601773706699047,-0.02655023330584072,0.018906019628047943,0.23978611826896667,0.23996539413928986,0.00017927587032318115,1023
qwen3_4b,dummy_only,selected,41,blank_dummy,0.0,2.7572048929313295,2.6373922249205766,-0.11981266801075297,0.02546267956495285,0.23262670636177063,0.23278792202472687,0.0001612156629562378,1023
qwen3_4b,dummy_only,selected,42,blank_dummy,0.0,2.641227356732649,2.5839490545576735,-0.057278302174975426,0.020906517282128334,0.23375333845615387,0.2340104877948761,0.000257149338722229,1023
qwen3_4b,dummy_only,selected,43,blank_dummy,0.0,3.1448524751038613,3.1284213098729228,-0.01643116523093857,0.016230540350079536,0.23304875195026398,0.23319874703884125,0.0001499950885772705,1023
qwen3_4b,dummy_only,selected,44,blank_dummy,0.0,3.1100709081744866,3.0866854342314274,-0.023385473943059232,0.013639283366501331,0.23958884179592133,0.23979637026786804,0.0002075284719467163,1023
qwen3_4b,dummy_only,selected,45,blank_dummy,0.0,2.6488169561033725,2.6252675284854594,-0.02354942761791312,0.013399331830441952,0.23021094501018524,0.2303508073091507,0.0001398622989654541,1023
qwen3_4b,dummy_only,selected,46,blank_dummy,0.0,2.80724918667522,2.782670215893817,-0.02457897078140281,0.024270188063383102,0.23904334008693695,0.23919279873371124,0.000149458646774292,1023
qwen3_4b,dummy_only,selected,47,blank_dummy,0.0,2.663592117622801,2.646241666284824,-0.017350451337976747,0.017262732610106468,0.2384839802980423,0.2387448102235794,0.0002608299255371094,1023
qwen3_4b,dummy_only,selected,48,blank_dummy,0.0,2.9026497013990715,2.8150394920729473,-0.08761020932612418,0.012877366505563259,0.23224033415317535,0.2324335128068924,0.00019317865371704102,1023
qwen3_4b,dummy_only,selected,49,blank_dummy,0.0,2.4352955748258798,2.416252128772605,-0.019043446053274682,0.0159614197909832,0.23013029992580414,0.23023803532123566,0.00010773539543151855,1023
qwen3_4b,dummy_only,selected,50,blank_dummy,0.0,2.7280905864338956,2.6885455328231918,-0.03954505361070382,0.012370788492262363,0.23180855810642242,0.23195964097976685,0.0001510828733444214,1023
qwen3_4b,dummy_only,selected,51,blank_dummy,0.0,2.3549002817998534,2.3143395268206257,-0.04056075497922773,0.010223431512713432,0.23666392266750336,0.23689185082912445,0.00022792816162109375,1023
qwen3_4b,dummy_only,selected,52,blank_dummy,0.0,2.9025456492851904,2.8508477383461632,-0.0516979109390272,0.014420335181057453,0.22990009188652039,0.23011520504951477,0.00021511316299438477,1023
qwen3_4b,dummy_only,selected,53,blank_dummy,0.0,3.219337083027859,3.1608702956989245,-0.05846678732893462,0.01752696931362152,0.23154211044311523,0.2317506968975067,0.0002085864543914795,1023
qwen3_4b,dummy_only,selected,54,blank_dummy,0.0,2.9539898735337244,2.8952708314241202,-0.058719042109604214,0.017849426716566086,0.22950080037117004,0.2296544760465622,0.00015367567539215088,1023
qwen3_4b,dummy_only,selected,55,blank_dummy,0.0,3.2440499373778104,3.212872726127199,-0.031177211250611236,0.015466993674635887,0.23827753961086273,0.23841439187526703,0.00013685226440429688,1023
qwen3_4b,dummy_only,selected,56,blank_dummy,0.0,2.8385598041911044,2.8116618554496577,-0.026897948741446687,0.013770111836493015,0.24154938757419586,0.24175262451171875,0.00020323693752288818,1023
qwen3_4b,dummy_only,selected,57,blank_dummy,0.0,2.57922900247434,2.5571286675983624,-0.022100334875977623,0.01466326229274273,0.21983015537261963,0.21994757652282715,0.00011742115020751953,1023
qwen3_4b,dummy_only,selected,58,blank_dummy,0.0,3.0616580370234603,3.0124652523216033,-0.04919278470185695,0.021395297721028328,0.22737963497638702,0.2275383174419403,0.0001586824655532837,1023
qwen3_4b,dummy_only,selected,59,blank_dummy,0.0,3.411190804847874,3.3576963243829425,-0.05349448046493155,0.01801837421953678,0.22389823198318481,0.2240329384803772,0.0001347064971923828,1023
qwen3_4b,dummy_only,selected,60,blank_dummy,0.0,3.181609122983871,3.1307958936644673,-0.050813229319403685,0.022599896416068077,0.23015400767326355,0.2303205281496048,0.00016652047634124756,1023
qwen3_4b,dummy_only,selected,61,blank_dummy,0.0,2.8305537577132207,2.7999192402859236,-0.03063451742729706,0.016261393204331398,0.22466959059238434,0.22492128610610962,0.00025169551372528076,1023
qwen3_4b,dummy_only,selected,62,blank_dummy,0.0,2.7501541689577222,2.7155561251374634,-0.034598043820258884,0.015504466369748116,0.23564179241657257,0.23590967059135437,0.0002678781747817993,1023
qwen3_4b,dummy_only,selected,63,blank_dummy,0.0,3.1535503726783967,3.0822880391617793,-0.07126233351661737,0.01779123581945896,0.23301781713962555,0.23327197134494781,0.0002541542053222656,1023
qwen3_4b,source_subtract_only,selected,0,subtract_only,1.0,2.6850590710532747,2.6674513532502444,-0.017607717803030276,0.00987687986344099,0.00304588139988482,0.41404101252555847,0.41099512577056885,1023
qwen3_4b,source_subtract_only,selected,1,subtract_only,1.0,2.752518968032136,2.7369013662328934,-0.015617601799242653,0.00942043773829937,0.0030986531637609005,0.40811121463775635,0.4050125479698181,1023
qwen3_4b,source_subtract_only,selected,2,subtract_only,1.0,2.829164566532258,2.7877570755437437,-0.04140749098851426,0.014048601500689983,0.003156976541504264,0.4358701705932617,0.43271318078041077,1023
qwen3_4b,source_subtract_only,selected,3,subtract_only,1.0,2.968945932994257,2.9466088556940373,-0.022337077300219832,0.00802677497267723,0.0031868850346654654,0.42255982756614685,0.41937294602394104,1023
qwen3_4b,source_subtract_only,selected,4,subtract_only,1.0,2.9354289810911536,2.9144662985703813,-0.02096268252077227,0.016266902908682823,0.003642043797299266,0.4403429925441742,0.4367009401321411,1023
qwen3_4b,source_subtract_only,selected,5,subtract_only,1.0,2.8662629635569403,2.855551084814883,-0.010711878742057479,0.016625000163912773,0.0036700372584164143,0.41586318612098694,0.4121931493282318,1023
qwen3_4b,source_subtract_only,selected,6,subtract_only,1.0,2.9538843895100197,2.923045347629521,-0.030839041880498907,0.013843202963471413,0.003169436939060688,0.4248967170715332,0.4217272698879242,1023
qwen3_4b,source_subtract_only,selected,7,subtract_only,1.0,3.027987393465909,3.0019340328690127,-0.026053360596896447,0.014770843088626862,0.0036659373436123133,0.47961923480033875,0.4759533107280731,1023
