variant,bos_positions,seeds,n_seeds,eval_loss_mean,eval_loss_std,pos0_attention_mean_mean,pos0_attention_mean_std,bos_attention_sum_mean_mean,bos_attention_sum_mean_std,bos_qk_pressure_max_position_mean_mean,bos_qk_pressure_max_position_mean_std,bos_qk_pressure_sum_mean_mean,bos_qk_pressure_sum_mean_std
single_0,0,0 1 2,3,6.222424507141113,0.0343825283062753,0.0756594985723495,0.0089260189984889,0.0756594985723495,0.0089260189984889,-5.8486075242096084e-09,2.578237041736573e-07,-5.8486075242096084e-09,2.578237041736573e-07
no_bos,none,0 1 2,3,6.181944529215495,0.0301473393153252,0.0243457288791735,0.0008922923692757,0.0,0.0,,0.0,0.0,0.0
single_8,8,0 1 2,3,6.132196267445882,0.0508977872104805,0.0240686759352684,0.0011549098426141,0.0161912996942798,0.0028593757732191,3.9051077630839856e-08,2.1588153037626865e-07,3.9051077630839856e-08,2.1588153037626865e-07
single_32,32,0 1 2,3,6.143412748972575,0.0707313273243773,0.0242328948030869,0.0008214963580402,0.0058453994182248,0.0013931038574181,4.51277024637875e-08,3.4278196730620134e-08,4.51277024637875e-08,3.4278196730620134e-08
"duplicate_0,8",0 8,0 1 2,3,6.105308850606282,0.0351665283336817,0.0755814140041669,0.0048018028181165,0.0873187957331538,0.0054300098993612,1.3129483041514808e-07,4.479319877757909e-08,1.3267136086033326e-07,3.090090483817645e-08
"duplicate_0,32",0 32,0 1 2,3,6.162833531697591,0.0247359163736218,0.0812275285522143,0.010751408079548,0.0881904116831719,0.0120762544634268,2.4618564490689704e-07,9.05733844173803e-08,3.048537754087496e-07,7.564481883072321e-08
