step,selected_dummy_minus_bos_mean,random_dummy_minus_bos_mean,random_dummy_minus_bos_std,dummy_only_dummy_minus_bos_mean,clean_mean_bos_attention,selected_ppl_ratio,random_ppl_ratio_mean,random_ppl_ratio_std,dummy_only_ppl_ratio
0,-0.0001801629550755,3.987308591604233e-05,0.0002125200198909,-0.000199272762984,0.0350125581026077,0.9953425982966831,0.998752249913079,0.0008382747121048,0.9985124068196772
1000,0.0314648635685443,0.0157657431438565,0.0133955341172022,-0.022632947191596,0.0402434542775154,1.0206822128443045,1.0252405421338808,0.0112576138402632,1.0073410116787274
2000,0.0429979003965854,0.0235778659582138,0.016175153226139,-0.0292672123759984,0.0430916808545589,1.0645416094808058,1.0724042129086004,0.0301364212977837,1.0060163954886678
3000,0.053039364516735,-0.0108428856357932,0.0092126829908476,-0.0383362025022506,0.0493467710912227,1.100312060456678,1.0600003378108471,0.0279331245477527,1.0065923597878217
4000,0.045404702425003,-0.0142968043684959,0.0125872056101965,-0.0461564511060714,0.0571978166699409,1.0929017739882578,1.061961502446915,0.0187114799710026,1.005812929350684
5000,0.0237289424985647,-0.0084712510928511,0.0163132908326842,-0.0526861101388931,0.0619047544896602,1.04831566474496,1.1083750719260612,0.0409355375807114,1.0015230715291803
6000,0.0238740965723991,-0.0235047824680805,0.0145281140008398,-0.0552762299776077,0.0645986497402191,1.0607146890699086,1.0896525114285214,0.0371915189857572,0.9987541276227256
7000,0.0160497426986694,-0.0217812346294522,0.0195592265442733,-0.0588703975081443,0.0679343715310096,1.0550394715082847,1.155599898174263,0.135903002562065,0.9974111187791984
8000,0.0263457130640745,-0.0384454950690269,0.0051231415643788,-0.0622202977538108,0.0702859312295913,1.0546267694552118,1.0522858180221528,0.0181761457239772,0.9935481490481782
9000,0.0156886875629425,-0.0465849034488201,0.007534909755564,-0.0654511302709579,0.0726140663027763,1.0531636070819037,1.0548628087834924,0.0228441360534904,0.9951009801103264
10000,0.0148649327456951,-0.033842839859426,0.0145397218424151,-0.0651499778032302,0.0727410316467285,1.0594812194252958,1.090039772080611,0.0699867317093787,0.9918822705785892
