variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions,seed,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos8_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer
no_bos,none,10000,6.2503485679626465,518.1934204101562,0.02549806796014309,0.06160977855324745,1,0.017044926062226295,0.03647688403725624,0.008453141897916794,0.0405479 0.0139995 0.0193858 0.0280591,0.0256567 0.00891632 0.0135007 0.020106,0.0,nan,nan,1,,,,,,,,,
single_8,8,10000,6.238234519958496,511.953857421875,0.02186618745326996,0.040608830749988556,1,0.01851118914783001,0.02853449247777462,0.003354998305439949,0.0322264 0.0131992 0.0184094 0.0236298,0.0251047 0.0106611 0.016543 0.021736,0.013763859868049622,0.013763859868049622,0.09165192395448685,1,0.013763859868049622,0.09165192395448685,0.0407338 0.00138246 0.00415252 0.00878669,,,,,,
single_32,32,10000,6.169989585876465,478.1811218261719,0.02216838113963604,0.0437064953148365,1,0.017810845747590065,0.032965973019599915,0.004357535392045975,0.0352996 0.0124005 0.0180073 0.0229661,0.0265937 0.0106375 0.0139303 0.0200819,0.005408205557614565,0.005408205557614565,0.022065505385398865,1,,,,0.005408205557614565,0.022065505385398865,0.00947418 0.000462576 0.00276002 0.00893605,,,
"duplicate_0,8",0 8,10000,6.23457670211792,510.0846862792969,0.07514436542987823,0.2593088150024414,1,0.013373187743127346,0.022499755024909973,0.06177117768675089,0.0973336 0.0202081 0.0418248 0.141211,0.0187138 0.00813226 0.0111486 0.0154981,0.08648403827100992,0.07514436542987823,0.2593088150024414,1,0.011339672841131687,0.04797116667032242,0.032817 0.000907235 0.00372517 0.00790926,,,,0.07514436542987823,0.2593088150024414,0.0973336 0.0202081 0.0418248 0.141211
"duplicate_0,32",0 32,10000,6.26096248626709,523.7227783203125,0.06228896975517273,0.16387233138084412,1,0.012948599644005299,0.023257961496710777,0.04934037011116743,0.118775 0.023536 0.0357903 0.0710542,0.0195313 0.00822845 0.0103567 0.013678,0.06995878927409649,0.06228896975517273,0.16387233138084412,1,,,,0.0076698195189237595,0.030511360615491867,0.0219801 0.000454899 0.00257665 0.0056676,0.06228896975517273,0.16387233138084412,0.118775 0.023536 0.0357903 0.0710542
no_bos,none,10000,6.277303695678711,532.351318359375,0.025112252682447433,0.06136534735560417,1,0.01637934520840645,0.037567269057035446,0.008732907474040985,0.0398543 0.0148218 0.0191921 0.0265808,0.023257 0.00895247 0.0127749 0.020533,0.0,nan,nan,2,,,,,,,,,
