variant,bos_positions,seeds,n_seeds,loss_mean,loss_std,ppl_mean,ppl_std,pos0_attention_mean_mean,pos0_attention_mean_std,control_attention_mean_mean,control_attention_mean_std,pos0_minus_control_attention_mean,pos0_minus_control_attention_std,bos_attention_sum_mean_mean,bos_attention_sum_mean_std,bos_attention_max_position_mean_mean,bos_attention_max_position_mean_std,bos_attention_max_head_over_positions_mean,bos_attention_max_head_over_positions_std
single_0,0,0,1,10.824475288391113,0.0,50235.40234375,0.0,0.0987367182970047,0.0,0.08530233800411224,0.0,0.013434380292892456,0.0,0.0987367182970047,0.0,0.0987367182970047,0.0,0.09890828281641006,0.0
no_bos,none,0,1,10.82767391204834,0.0,50396.34375,0.0,0.09885579347610474,0.0,0.08521190285682678,0.0,0.013643890619277954,0.0,0.0,0.0,nan,0.0,nan,0.0
