variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions,seed
single_0,0,2,10.824475288391113,50235.40234375,0.0987367182970047,0.09890828281641006,1,0.08530233800411224,0.08542217314243317,0.013434380292892456,0.0987367,0.0853023,0.0987367182970047,0.09890828281641006,0.0987367,0.0987367182970047,0.0987367182970047,0.09890828281641006,0
no_bos,none,2,10.82767391204834,50396.34375,0.09885579347610474,0.09934195876121521,1,0.08521190285682678,0.08529316633939743,0.013643890619277954,0.0988558,0.0852119,,,,0.0,nan,nan,0
