bos_position,step,loss,ppl,pos0_attention_mean,bos_position_attention_mean,next_position_attention_mean,bos_minus_pos0_attention,bos_minus_next_attention
0,10000,13.132004737854004,504844.0,0.06098423153162,0.06098423153162,0.0104420166462659,0.0,0.050542214885354
2,10000,13.20207691192627,541488.375,0.0177046880125999,0.0190815981477499,0.0116716045886278,0.0013769101351499,0.007409993559122
4,10000,13.124872207641602,501256.0,0.020344715565443,0.0114683099091053,0.0134167280048131,-0.0088764056563377,-0.0019484180957078
8,10000,13.22262477874756,552729.9375,0.0195253882557153,0.005851499736309,0.0114678684622049,-0.0136738885194063,-0.0056163687258958
16,10000,13.019179344177246,450980.46875,0.0196037925779819,0.0038122737314552,0.0111363288015127,-0.0157915188465267,-0.0073240550700575
32,10000,13.02381992340088,453078.15625,0.0186245180666446,0.00165287242271,0.0105077493935823,-0.0169716456439346,-0.0088548769708722
64,10000,12.987929344177246,437105.25,0.0178247969597578,0.001458620885387,0.0141408694908022,-0.0163661760743707,-0.0126822486054152
