model_key,model_id,baseline_ppl,intervened_ppl,ppl_ratio,dummy_minus_bos_mean,source_wikitext_ppl_ratio,topk,scale,dataset
gpt2,gpt2,19.57167047301288,19.67481110482809,1.0052698941542797,0.3134486758645995,1.002277571340189,4,3.0,Pile
gpt2_medium,gpt2-medium,14.446483026190108,14.553772506754202,1.0074266851225715,0.3185547453880135,1.0077162323229902,4,3.0,Pile
llama3_2_1b,unsloth/Llama-3.2-1B,9.330022010874815,9.67991718048875,1.037502073329099,0.4048588562823826,1.0375173181269113,8,0.87,Pile
mistral_7b_v0_1,mistralai/Mistral-7B-v0.1,5.416737275577857,5.393105495830845,0.9956372667632306,0.3356610115393917,0.9905812179150424,1,3.0,Pile
opt_125m,facebook/opt-125m,15.915069186648,16.027273554259374,1.0070501966592458,0.4619281186684112,1.001663651394727,8,3.0,Pile
opt_350m,facebook/opt-350m,13.252928974448722,13.482391064366912,1.017314066223443,0.0151404982317417,1.0386385594292802,8,1.0,Pile
phi_1_5,microsoft/phi-1_5,13.67887842093526,13.682419668385338,1.0002588843427878,0.4071695781602935,1.0027403126631036,2,3.0,Pile
phi_2,microsoft/phi-2,9.192554485180391,9.373400020228628,1.0196730446732494,0.5168697343190285,1.047725807252439,16,2.0,Pile
pythia_160m,EleutherAI/pythia-160m,33.72498835100691,34.301760149919986,1.0171022089884831,0.1126677435350147,1.0067061894083804,4,3.0,Pile
pythia_1_4b,EleutherAI/pythia-1.4b,8.589415862222111,8.614583595210874,1.002930086677891,0.3743165847246041,1.0038941060392137,4,3.0,Pile
pythia_1b,EleutherAI/pythia-1b,8.921406242796055,8.925058873118893,1.000409423158573,0.342300109558427,1.0085548185953497,16,2.0,Pile
pythia_2_8b,EleutherAI/pythia-2.8b,7.626463081702808,7.677176221093317,1.0066496275989558,0.2187764240144535,1.0211831733407215,4,3.75,Pile
pythia_410m,EleutherAI/pythia-410m,11.43183970589476,11.59275853571235,1.0140763721288546,0.3340700946360033,1.017756491211374,8,2.25,Pile
pythia_70m,EleutherAI/pythia-70m,140.69275072703624,142.44913461552522,1.0124838264900842,0.0057999963443085,1.0091732504619042,2,3.0,Pile
qwen3_1_7b,Qwen/Qwen3-1.7B,12.24968411996313,12.075702511776644,0.9857970535009184,0.4556569972482077,0.9702557992105258,4,6.0,Pile
