condition,count,control_id,scale,mean_nll,ppl,num_windows,bos_attention_mean,inserted_attention_mean,inserted_minus_bos_mean,ppl_ratio_vs_clean
clean,0,-1,0.0,2.763276528675108,15.851696490160974,192,0.3452628174175818,,,1.0
bos_repeat_only,1,-1,0.0,2.769843088139459,15.956130107291,192,0.1829920330395301,0.1830916653076807,9.96313538053073e-05,1.0065881665848728
ordinary_repeat_only,1,-1,0.0,2.75849244834624,15.77604181412192,192,0.3446582599232594,0.0019799649793033,-0.3426782917231321,0.9952273451560208
selected_copy_bos,1,-1,4.0,2.7725376689733143,15.999183168587663,192,0.026836900312143,0.3369796890765428,0.3101427940030892,1.0093041573511223
random_copy_bos,1,0,4.0,2.7710625134838174,15.97559928493348,192,0.183786602380375,0.1827154137815038,-0.0010711896102293,1.0078163744082165
bos_repeat_only,2,-1,0.0,2.780193066589216,16.122133292858717,192,0.1257500591066976,0.2516998434439301,0.1259497860446572,1.017060432797562
ordinary_repeat_only,2,-1,0.0,2.755461403507097,15.728296319920098,192,0.3441829401999712,0.0031900250614853,-0.3409929213424523,0.992215333524871
selected_copy_bos,2,-1,4.0,2.779913864061164,16.11763258082008,192,0.0190577293202901,0.3624281709392865,0.3433704450726509,1.0167765065918446
random_copy_bos,2,0,4.0,2.781280477802852,16.13967421675932,192,0.1270717571799954,0.2504725717008114,0.123400813434273,1.018166997253391
bos_repeat_only,4,-1,0.0,2.8030284534801138,16.494524106313975,192,0.0783553736594816,0.3138173514356215,0.2354619807253281,1.0405526068804054
ordinary_repeat_only,4,-1,0.0,2.755147074441173,15.723353236147435,192,0.3428368847817182,0.0049259367903384,-0.3379109470794598,0.9919035004175611
selected_copy_bos,4,-1,4.0,2.802069531313641,16.478714722718625,192,0.0127996591036207,0.3851046214501063,0.3723049641897281,1.0395552761779685
random_copy_bos,4,0,4.0,2.8037875745070413,16.50705020020134,192,0.0784298384872575,0.3138953497012456,0.2354655129214128,1.0413428121366783
bos_repeat_only,8,-1,0.0,2.851864255107781,17.320040736228794,192,0.045632175868377,0.3659815328816573,0.320349362368385,1.0926301009471897
ordinary_repeat_only,8,-1,0.0,2.757856466592271,15.766011729191868,192,0.3388318512588739,0.0094135848242634,-0.3294182692964871,0.9945945999519806
selected_copy_bos,8,-1,4.0,2.850061321538215,17.288841986446982,192,0.0082001297851093,0.4097382506976525,0.4015381249288718,1.0906619362273329
random_copy_bos,8,0,4.0,2.8527684763302124,17.335708967341855,192,0.045829409500584,0.3656569899370273,0.319827577099204,1.0936185270833312
bos_repeat_only,16,-1,0.0,2.943238244378322,18.977199730303635,192,0.0255878787720575,0.411588426058491,0.3860005481789509,1.1971715293743252
ordinary_repeat_only,16,-1,0.0,2.7648124756973083,15.87606256389082,192,0.2998283707226316,0.0446701947657857,-0.2551581758695344,1.0015371271929772
selected_copy_bos,16,-1,4.0,2.941411430729294,18.942563569354228,192,0.0049021996965166,0.4395322259515524,0.4346300270408392,1.1949865164975706
random_copy_bos,16,0,4.0,2.942782762812729,18.968557933898797,192,0.0255028906200702,0.4118082753072182,0.3863053849587838,1.196626363977662
bos_repeat_only,32,-1,0.0,3.09309573156432,22.04521852775428,192,0.0141090927839589,0.4565795796612898,0.4424704884489377,1.3907166681772878
ordinary_repeat_only,32,-1,0.0,2.810361934896788,16.61593101587778,192,0.2236604397185146,0.1466600263956934,-0.0770004120422527,1.0482115290430372
selected_copy_bos,32,-1,4.0,3.0888277055697477,21.95132946502586,192,0.0027552940882742,0.4739857117335002,0.4712304168691237,1.3847937019643848
random_copy_bos,32,0,4.0,3.0919470614585243,22.019910382393437,192,0.0141772128020723,0.4571597184985876,0.4429825066278378,1.38912011064942
bos_repeat_only,64,-1,0.0,3.3291144148850527,27.913610875930363,192,0.0077213719778228,0.5056306043018898,0.497909227386117,1.76092261754167
ordinary_repeat_only,64,-1,0.0,2.9211074316994923,18.561832042990897,192,0.1653712041055162,0.2412356725350643,0.0758644649176858,1.1709681707892958
selected_copy_bos,64,-1,4.0,3.325214205754623,27.80495398596331,192,0.0014554303391681,0.5162233710289001,0.5147679466754198,1.7540680269283246
random_copy_bos,64,0,4.0,3.3293358488011413,27.919792580493063,192,0.0077508509372516,0.5061676589151224,0.4984168075025081,1.761312588707629
