model,sequence_index,num_pairs,sink_delta_nll,ordinary_delta_nll,paired_delta_nll,sink_kl,ordinary_kl,paired_kl,sink_logit_l2,ordinary_logit_l2,paired_logit_l2
pythia_1b,1,1,0.012404441833496094,0.06083834171295166,0.048433899879455566,0.00032823672518134117,0.001990770921111107,0.0016625341959297657,5.385566234588623,6.818720817565918,1.433154582977295
pythia_1b,3,1,-0.03043651580810547,-0.032996177673339844,-0.002559661865234375,4.638842074200511e-05,0.000171919004060328,0.0001255305833183229,5.0034871101379395,5.941929340362549,0.9384422302246094
pythia_1b,4,1,-0.0066220760345458984,-0.003077387809753418,0.0035446882247924805,0.0002916493685916066,0.0002787131816148758,-1.2936186976730824e-05,4.689454555511475,9.416377067565918,4.726922512054443
pythia_1b,5,1,-0.00010532140731811523,-0.0029456019401550293,-0.002840280532836914,6.219604983925819e-06,9.333062916994095e-05,8.711102418601513e-05,5.026540279388428,7.894229888916016,2.867689609527588
pythia_1b,6,1,0.057090044021606445,0.045003414154052734,-0.012086629867553711,0.0002955114468932152,0.0005345598328858614,0.00023904838599264622,3.7567033767700195,7.073655605316162,3.3169522285461426
pythia_1b,8,1,-0.0014671087265014648,0.020920872688293457,0.022387981414794922,7.451450801454484e-05,0.000625962158665061,0.0005514476506505162,4.173073768615723,12.21261978149414,8.039546012878418
pythia_1b,9,1,-0.013045698404312134,0.0030360817909240723,0.016081780195236206,0.0006300513632595539,0.00011577887926250696,-0.000514272483997047,8.3450345993042,7.443576812744141,-0.9014577865600586
pythia_1b,10,1,-0.0026521682739257812,-0.003726482391357422,-0.0010743141174316406,0.0002791173756122589,0.0009662795346230268,0.0006871621590107679,4.56263542175293,8.359480857849121,3.7968454360961914
pythia_1b,11,1,-3.902893513441086e-05,1.1827796697616577e-07,3.9147213101387024e-05,2.549157215980813e-06,1.4230131739623175e-07,-2.406855898584581e-06,6.392491340637207,6.06829833984375,-0.32419300079345703
pythia_1b,13,1,0.003236532211303711,-0.004095554351806641,-0.0073320865631103516,0.0001211769413203001,0.0001279142452403903,6.7373039200901985e-06,4.112549304962158,6.6225409507751465,2.5099916458129883
pythia_1b,14,1,0.0041255950927734375,0.024511337280273438,0.0203857421875,0.0005177635466679931,0.0010326243937015533,0.0005148608470335603,5.118053436279297,9.960497856140137,4.84244441986084
pythia_1b,15,1,-4.041008651256561e-06,-5.669449456036091e-05,-5.265348590910435e-05,3.743534762179479e-07,2.7646819944493473e-06,2.3903285182313994e-06,3.9142115116119385,6.449112892150879,2.5349013805389404
pythia_1b,16,1,-3.4749507904052734e-05,0.06853926181793213,0.06857401132583618,1.8891460058512166e-06,0.0019378196448087692,0.001935930498802918,6.18999719619751,9.470636367797852,3.280639171600342
pythia_1b,17,1,0.05202293395996094,0.05516672134399414,0.003143787384033203,0.0003554894356057048,0.002029549330472946,0.0016740598948672414,6.697842597961426,5.935026168823242,-0.7628164291381836
pythia_1b,19,1,0.001684974879026413,0.006376307457685471,0.004691332578659058,5.1208073273301125e-05,0.0005224598571658134,0.0004712517838925123,7.189115047454834,8.79561996459961,1.6065049171447754
pythia_1b,20,1,-0.051053762435913086,-0.05110788345336914,-5.412101745605469e-05,0.001913921907544136,0.001920296810567379,6.3749030232429504e-06,4.788626670837402,5.762958526611328,0.9743318557739258
pythia_1b,22,1,-0.004480957984924316,-0.005396902561187744,-0.0009159445762634277,0.00018086307682096958,0.00017693685367703438,-3.9262231439352036e-06,4.598951816558838,4.1819748878479,-0.4169769287109375
pythia_1b,23,1,0.027166128158569336,0.13855934143066406,0.11139321327209473,0.0007491081487387419,0.0019595096819102764,0.0012104015331715345,7.577301025390625,12.283453941345215,4.70615291595459
pythia_1b,24,1,0.0014445781707763672,-0.05977153778076172,-0.061216115951538086,0.0001472305739298463,0.0002304248046129942,8.319423068314791e-05,3.700868606567383,6.555376052856445,2.8545074462890625
