variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos8_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions,seed,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer
single_8,8,10000,6.246836185455322,516.3765258789062,0.02256804145872593,0.03969581425189972,1,0.018227290362119675,0.025846989825367928,0.004340751096606255,0.0327053 0.0156369 0.0183387 0.0235913,0.0245216 0.0142935 0.0141156 0.0199784,0.01633792370557785,0.10529100894927979,0.0493548 0.00112727 0.00461324 0.0102564,0.01633792370557785,0.01633792370557785,0.10529100894927979,2,,,,,,
single_32,32,10000,6.24657678604126,516.2426147460938,0.02278238534927368,0.044848401099443436,1,0.01919190213084221,0.03164852038025856,0.0035904832184314728,0.0369362 0.0131602 0.0167065 0.0243266,0.0285425 0.0107547 0.0156087 0.0218617,,,,0.005262446589767933,0.005262446589767933,0.014402991160750389,2,0.005262446589767933,0.014402991160750389,0.00773596 0.000397411 0.00402425 0.00889217,,,
"duplicate_0,8",0 8,10000,6.2833685874938965,535.58984375,0.08108850568532944,0.24484457075595856,1,0.013903511688113213,0.025220312178134918,0.06718499399721622,0.104165 0.022154 0.0594569 0.138578,0.017989 0.00948505 0.0114199 0.01672,0.013349384069442749,0.06428948044776917,0.0428203 0.00119009 0.00370384 0.00568329,0.09443788975477219,0.08108850568532944,0.24484457075595856,2,,,,0.08108850568532944,0.24484457075595856,0.104165 0.022154 0.0594569 0.138578
"duplicate_0,32",0 32,10000,6.234967231750488,510.2839050292969,0.0643705353140831,0.17399001121520996,1,0.013590586371719837,0.025532662868499756,0.05077994894236326,0.111847 0.0406117 0.0259789 0.0790442,0.0203545 0.00859492 0.00922824 0.0161847,,,,0.07023639930412173,0.0643705353140831,0.17399001121520996,2,0.005865863990038633,0.025372929871082306,0.0157081 0.00241901 0.0018053 0.00353104,0.0643705353140831,0.17399001121520996,0.111847 0.0406117 0.0259789 0.0790442
