variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
no_bos,none,0,10.837252616882324,50881.3984375,0.03483254089951515,0.03529229760169983,1,0.031151143833994865,0.03171660006046295,0.0036813970655202866,0.0347586 0.0349596 0.0349257 0.0346863,0.0313518 0.0313039 0.0309855 0.0309634,0.0,nan,nan
no_bos,none,1000,6.1000237464904785,445.86834716796875,0.027819842100143433,0.03742141276597977,1,0.024597257375717163,0.03234889358282089,0.0032225847244262695,0.0338707 0.0181055 0.0260492 0.0332539,0.0301047 0.014317 0.0234907 0.0304767,0.0,nan,nan
no_bos,none,2000,5.797718048095703,329.54669189453125,0.024007325991988182,0.03730860725045204,1,0.020854752510786057,0.03188074380159378,0.0031525734812021255,0.0334982 0.014621 0.0180456 0.0298645,0.0289691 0.01027 0.0158593 0.0283206,0.0,nan,nan
no_bos,none,3000,5.691366195678711,296.2981262207031,0.02304251864552498,0.04038902744650841,1,0.01929030381143093,0.03290121629834175,0.0037522148340940475,0.0342956 0.0142681 0.016211 0.0273953,0.0277481 0.00960242 0.0141151 0.0256956,0.0,nan,nan
no_bos,none,4000,5.691439628601074,296.3199157714844,0.022802215069532394,0.0455949492752552,1,0.01793995127081871,0.033893369138240814,0.004862263798713684,0.035557 0.0142868 0.016496 0.0248691,0.0260395 0.00931702 0.0134154 0.0229879,0.0,nan,nan
no_bos,none,5000,5.732039451599121,308.5979919433594,0.02322610840201378,0.05009899660944939,1,0.017627261579036713,0.034797392785549164,0.005598846822977066,0.036719 0.0143921 0.0167431 0.0250503,0.0251726 0.00919957 0.0133229 0.022814,0.0,nan,nan
no_bos,none,6000,5.812853813171387,334.57257080078125,0.023519981652498245,0.05400892719626427,1,0.016764745116233826,0.03512709215283394,0.0067552365362644196,0.0376687 0.0147731 0.0180567 0.0235815,0.0239624 0.00892254 0.0126217 0.0215524,0.0,nan,nan
no_bos,none,7000,5.934865474700928,377.9891662597656,0.023703349754214287,0.0583072230219841,1,0.016438530758023262,0.03585259988903999,0.007264818996191025,0.0392833 0.0146847 0.0170386 0.0238068,0.0236603 0.00912538 0.0122581 0.0207104,0.0,nan,nan
no_bos,none,8000,6.050983428955078,424.53033447265625,0.02419840544462204,0.0598946213722229,1,0.016193827614188194,0.03644566610455513,0.008004577830433846,0.0395644 0.0147461 0.0175295 0.0249536,0.0233909 0.00912026 0.0124383 0.0198259,0.0,nan,nan
no_bos,none,9000,6.197533130645752,491.5350036621094,0.024738531559705734,0.06122637167572975,1,0.016408739611506462,0.03707452118396759,0.008329791948199272,0.0393963 0.0148218 0.019697 0.025039,0.023549 0.00896526 0.0129567 0.0201641,0.0,nan,nan
no_bos,none,10000,6.277303695678711,532.351318359375,0.025112252682447433,0.06136534735560417,1,0.01637934520840645,0.037567269057035446,0.008732907474040985,0.0398543 0.0148218 0.0191921 0.0265808,0.023257 0.00895247 0.0127749 0.020533,0.0,nan,nan
