variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
single_32,32,0,10.842650413513184,51156.78515625,0.034912995994091034,0.03528915345668793,1,0.03128620982170105,0.03174567595124245,0.003626786172389984,0.0349769 0.0349483 0.0349306 0.0347962,0.031225 0.0311433 0.0313616 0.031415,0.014194227755069733,0.014530905522406101,0.0141654 0.0142455 0.0141377 0.0142283,0.014194227755069733,0.014194227755069733,0.014530905522406101
single_32,32,1000,6.053407669067383,425.56072998046875,0.028812728822231293,0.03697866201400757,1,0.0254200529307127,0.03351782634854317,0.003392675891518593,0.0343384 0.0157575 0.0306386 0.0345163,0.0304586 0.0127875 0.0278683 0.0305657,0.010624818503856659,0.014845249243080616,0.0129257 0.0028457 0.0130746 0.0136533,0.010624818503856659,0.010624818503856659,0.014845249243080616
single_32,32,2000,5.752431392669678,314.95550537109375,0.02371322363615036,0.035405322909355164,1,0.02167036198079586,0.0318276472389698,0.0020428616553545,0.0340617 0.0138275 0.0191117 0.027852,0.0300117 0.0103092 0.0183543 0.0280063,0.00854894146323204,0.014795586466789246,0.0117736 0.000520689 0.00872918 0.0131723,0.00854894146323204,0.00854894146323204,0.014795586466789246
single_32,32,3000,5.668795585632324,289.6853942871094,0.022293027490377426,0.03610782325267792,1,0.02025444060564041,0.03171568736433983,0.0020385868847370148,0.0339046 0.0137066 0.017612 0.0239489,0.0299269 0.0102181 0.0163611 0.0245117,0.007738824002444744,0.014429201371967793,0.0105 0.00031804 0.00672422 0.0134131,0.007738824002444744,0.007738824002444744,0.014429201371967793
single_32,32,4000,5.665971279144287,288.868408203125,0.021841779351234436,0.03812795132398605,1,0.019756626337766647,0.03205186128616333,0.0020851530134677887,0.034384 0.0139419 0.0160735 0.0229678,0.029954 0.0109391 0.0152539 0.0228795,0.006093935575336218,0.013574088923633099,0.00948779 0.000305122 0.00398098 0.0106018,0.006093935575336218,0.006093935575336218,0.013574088923633099
single_32,32,5000,5.695974349975586,297.6666564941406,0.02260102704167366,0.04036659374833107,1,0.01997539773583412,0.03193141892552376,0.0026256293058395386,0.034908 0.0140504 0.0168101 0.0246356,0.0295687 0.0110442 0.0159696 0.0233191,0.00624349620193243,0.012421802617609501,0.00869584 0.000310303 0.00515249 0.0108154,0.00624349620193243,0.00624349620193243,0.012421802617609501
single_32,32,6000,5.801973342895508,330.9520263671875,0.0225156731903553,0.041684944182634354,1,0.019874460995197296,0.031872015446424484,0.0026412121951580048,0.0352105 0.013844 0.0165272 0.024481,0.0295802 0.0110437 0.0159805 0.0228935,0.005863133817911148,0.01182688307017088,0.0082034 0.000284383 0.00459174 0.010373,0.005863133817911148,0.005863133817911148,0.01182688307017088
single_32,32,7000,5.883837699890137,359.18505859375,0.022404147312045097,0.04351650923490524,1,0.019493024796247482,0.0318029522895813,0.002911122515797615,0.0360591 0.0133563 0.0163093 0.0238918,0.0294009 0.0111145 0.015597 0.0218598,0.005535969510674477,0.011423341929912567,0.00756618 0.000239178 0.0047094 0.00962912,0.005535969510674477,0.005535969510674477,0.011423341929912567
single_32,32,8000,5.985996246337891,397.8186340332031,0.022903520613908768,0.04438493400812149,1,0.0199536494910717,0.03175722062587738,0.0029498711228370667,0.0366525 0.0140056 0.0169089 0.0240471,0.0291118 0.0115593 0.0163802 0.0227632,0.005274839699268341,0.012196119874715805,0.00751115 0.000216578 0.00408471 0.00928692,0.005274839699268341,0.005274839699268341,0.012196119874715805
single_32,32,9000,6.112737655639648,451.5732727050781,0.02345036342740059,0.044234469532966614,1,0.01968258246779442,0.03111722506582737,0.0037677809596061707,0.0375555 0.0141784 0.0172759 0.0247917,0.028798 0.0106589 0.0162281 0.0230454,0.005130367819219828,0.013035559095442295,0.00746848 0.000335767 0.00406943 0.00864779,0.005130367819219828,0.005130367819219828,0.013035559095442295
single_32,32,10000,6.24657678604126,516.2426147460938,0.02278238534927368,0.044848401099443436,1,0.01919190213084221,0.03164852038025856,0.0035904832184314728,0.0369362 0.0131602 0.0167065 0.0243266,0.0285425 0.0107547 0.0156087 0.0218617,0.005262446589767933,0.014402991160750389,0.00773596 0.000397411 0.00402425 0.00889217,0.005262446589767933,0.005262446589767933,0.014402991160750389
