variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions,seed,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos8_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer,source_final_rows_csv
single_0,0,10000,6.292934417724609,540.7377319335938,0.0819345116615295,0.2366788685321808,1,0.0130506046116352,0.029058014973998,0.0688839070498943,0.111472 0.0219839 0.0419399 0.152342,0.0188338 0.00868679 0.0098778 0.014804,0.0819345116615295,0.2366788685321808,0.111472 0.0219839 0.0419399 0.152342,0.0819345116615295,0.0819345116615295,0.2366788685321808,0,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_3seed/final_rows_by_seed.csv
single_0,0,10000,6.296212673187256,542.5133056640625,0.0837733224034309,0.2532556653022766,1,0.0127784106880426,0.0270367581397295,0.0709949117153883,0.128626 0.0207618 0.0524735 0.133232,0.0183342 0.00842407 0.00952293 0.0148324,0.0837733224034309,0.2532556653022766,0.128626 0.0207618 0.0524735 0.133232,0.0837733224034309,0.0837733224034309,0.2532556653022766,1,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_3seed/final_rows_by_seed.csv
single_0,0,10000,6.30152702331543,545.4041748046875,0.0832412019371986,0.2324784845113754,1,0.0138434059917926,0.0282619595527648,0.0693977959454059,0.124447 0.0224031 0.0532796 0.132835,0.0203933 0.00912892 0.00930956 0.0165419,0.0832412019371986,0.2324784845113754,0.124447 0.0224031 0.0532796 0.132835,0.0832412019371986,0.0832412019371986,0.2324784845113754,2,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714_single0_seed2/final_rows_by_seed.csv
no_bos,none,10000,6.259572505950928,522.995361328125,0.0245533399283885,0.0513657443225383,1,0.0153971072286367,0.0328795239329338,0.0091562326997518,0.0405353 0.0166296 0.0155078 0.0255407,0.0245953 0.00974345 0.00923068 0.018019,,,,0.0,,,0,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_3seed/final_rows_by_seed.csv
no_bos,none,10000,6.250348567962647,518.1934204101562,0.025498067960143,0.0616097785532474,1,0.0170449260622262,0.0364768840372562,0.0084531418979167,0.0405479 0.0139995 0.0193858 0.0280591,0.0256567 0.00891632 0.0135007 0.020106,,,,0.0,,,1,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714/final_rows_by_seed.csv
no_bos,none,10000,6.277303695678711,532.351318359375,0.0251122526824474,0.0613653473556041,1,0.0163793452084064,0.0375672690570354,0.0087329074740409,0.0398543 0.0148218 0.0191921 0.0265808,0.023257 0.00895247 0.0127749 0.020533,,,,0.0,,,2,,,,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714/final_rows_by_seed.csv
single_8,8,10000,6.212745189666748,499.06939697265625,0.0222919806838035,0.0513821206986904,1,0.0175871048122644,0.0350909754633903,0.0047048758715391,0.0364815 0.0149107 0.01578 0.0219956,0.0284179 0.0116241 0.0122585 0.018048,,,,0.0112662790343165,0.0112662790343165,0.0473239347338676,0,0.0112662790343165,0.0473239347338676,0.0299319 0.00135086 0.00359683 0.0101855,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_3seed/final_rows_by_seed.csv
single_8,8,10000,6.238234519958496,511.953857421875,0.0218661874532699,0.0406088307499885,1,0.01851118914783,0.0285344924777746,0.0033549983054399,0.0322264 0.0131992 0.0184094 0.0236298,0.0251047 0.0106611 0.016543 0.021736,,,,0.0137638598680496,0.0137638598680496,0.0916519239544868,1,0.0137638598680496,0.0916519239544868,0.0407338 0.00138246 0.00415252 0.00878669,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714/final_rows_by_seed.csv
single_8,8,10000,6.246836185455322,516.3765258789062,0.0225680414587259,0.0396958142518997,1,0.0182272903621196,0.0258469898253679,0.0043407510966062,0.0327053 0.0156369 0.0183387 0.0235913,0.0245216 0.0142935 0.0141156 0.0199784,,,,0.0163379237055778,0.0163379237055778,0.1052910089492797,2,0.0163379237055778,0.1052910089492797,0.0493548 0.00112727 0.00461324 0.0102564,,,,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714_resume2/final_rows_by_seed.csv
single_32,32,10000,6.213384628295898,499.3886413574219,0.0218783598393201,0.0401935018599033,1,0.0176053531467914,0.0290972180664539,0.0042730066925287,0.0351717 0.0125672 0.0162549 0.0235196,0.0267917 0.0117824 0.014076 0.0177713,,,,0.0065268538892269,0.0065268538892269,0.0215566251426935,0,,,,0.0065268538892269,0.0215566251426935,0.0148525 0.000383799 0.00348728 0.00738386,outputs/realtext_toy_bos_presence_controls/wikitext103_train_3seed/final_rows_by_seed.csv
single_32,32,10000,6.169989585876465,478.1811218261719,0.022168381139636,0.0437064953148365,1,0.01781084574759,0.0329659730195999,0.0043575353920459,0.0352996 0.0124005 0.0180073 0.0229661,0.0265937 0.0106375 0.0139303 0.0200819,,,,0.0054082055576145,0.0054082055576145,0.0220655053853988,1,,,,0.0054082055576145,0.0220655053853988,0.00947418 0.000462576 0.00276002 0.00893605,outputs/realtext_toy_bos_presence_controls/wikitext103_train_missing_seed_completion_20260714/final_rows_by_seed.csv
