variant,bos_positions,seeds,n_seeds,loss_mean,loss_std,ppl_mean,ppl_std,pos0_attention_mean_mean,pos0_attention_mean_std,control_attention_mean_mean,control_attention_mean_std,pos0_minus_control_attention_mean,pos0_minus_control_attention_std,bos_attention_sum_mean_mean,bos_attention_sum_mean_std,bos_attention_max_position_mean_mean,bos_attention_max_position_mean_std,bos_attention_max_head_over_positions_mean,bos_attention_max_head_over_positions_std
single_0,0,0 1 2,3,6.296891371409099,0.004336322308950085,542.8850708007812,2.3553299673198773,0.08298301200071967,0.000946204401071586,0.013224140430490134,0.0005532989784660984,0.0697588715702295,0.001100848254559031,0.08298301200071967,0.000946204401071586,0.08298301200071967,0.000946204401071586,0.24080433944861093,0.010985783682386152
no_bos,none,0 1 2,3,6.262408256530762,0.013699483149396454,524.5133666992188,7.199984292699896,0.025054553523659633,0.0004749996401991218,0.016273792833089766,0.0008289648394439305,0.0087807606905698,0.0003539796839585604,0.0,0.0,,0.0,,0.0
single_8,8,0 1 2,3,6.2326052983601885,0.017728933987024804,509.1332600911458,8.991718674479086,0.022242069865266435,0.00035357895666871686,0.018108528107404667,0.0004733511589382233,0.0041335417578617336,0.0006983868150328043,0.013789354202647966,0.0025359184507207128,0.013789354202647966,0.0025359184507207128,0.0814222892125447,0.03030725150007726
single_32,32,0 1 2,3,6.209983666737874,0.03840670139324593,497.9374593098958,19.072198557707292,0.022276375442743232,0.0004615870533164718,0.018202700341741197,0.000862813384757218,0.004073675101002,0.00042058539180184066,0.0057325020122031,0.0006917785755394221,0.0057325020122031,0.0006917785755394221,0.0193417072296142,0.004284615161481228
"duplicate_0,8",0 8,0 1 2,3,6.2452216148376465,0.03409449361993377,515.7442220052084,17.707683129157306,0.081547367076079,0.0066443264592822735,0.013761325739324065,0.0003401178896711509,0.06778604133675491,0.0063368020662657775,0.09424578119069334,0.0076674938255338315,0.081547367076079,0.0066443264592822735,0.2609557658433914,0.016994628578341595
"duplicate_0,32",0 32,0 1 2,3,6.243074417114258,0.015514109066172078,514.4790751139323,8.016644799665814,0.06769565244515734,0.007633247990226256,0.0132445637136697,0.0003239076046402655,0.05445108873148754,0.007639298046643725,0.07461923453956837,0.007832940603369462,0.06769565244515734,0.007633247990226256,0.2022031148274739,0.05785031149430226
