condition,count,control_id,scale,mean_nll,ppl,token_count,num_windows,bos_attention_mean,bos_attention_max_layer,inserted_attention_mean,inserted_attention_max_layer,inserted_minus_bos_mean,ppl_ratio_vs_clean
clean,0,-1,0.0,2.1930633114851736,8.962626421968059,196416,192,0.6273758355528116,0.8517867981766661,nan,nan,nan,1.0
bos_repeat_only,8,-1,0.0,2.577039913775362,13.158131253172485,196416,192,0.07387802117348959,0.10344125846556078,0.5909459938605627,0.8274624937524399,0.5170679747437438,1.468111090842851
ordinary_repeat_only,8,-1,0.0,2.1856964194607604,8.896842330525862,196416,192,0.6259785114477078,0.8508773349846402,0.0023989408570438777,0.005215345298590061,-0.6235795694713792,0.9926601770122924
selected_copy_bos,8,-1,4.0,2.710411059347571,15.035454708983753,196416,192,0.0069967734574068645,0.08541193484173466,0.6550599901626507,0.8724222934494416,0.6480632101496061,1.6775723991051044
random_copy_bos,8,0,4.0,2.5769974797740747,13.157572912860338,196416,192,0.07388605189044029,0.10344096443926294,0.5909665363530318,0.8274553272252282,0.5170804943578938,1.4680487943366864
bos_repeat_only,16,-1,0.0,2.8674821104743886,17.592665996854482,196416,192,0.0394784125383012,0.055963415012229234,0.6315121067066988,0.8952781604602933,0.5920336991548538,1.9628918096746237
ordinary_repeat_only,16,-1,0.0,2.186372720290178,8.902861307463327,196416,192,0.6257862830534577,0.85086516259859,0.0027292248190254518,0.007935869549934674,-0.6230570649107298,0.9933317409773721
selected_copy_bos,16,-1,4.0,3.04320329732637,20.972316315009927,196416,192,0.003933319899563988,0.04864696031048273,0.6676630449170867,0.9149935195843378,0.663729725095133,2.3399743922836316
random_copy_bos,16,0,4.0,2.867961311775374,17.601098445546807,196416,192,0.03947843215428293,0.05596351206380253,0.631516458466649,0.8952717895930012,0.5920380270108581,1.9638326553927559
bos_repeat_only,32,-1,0.0,3.5125762613793077,33.534550359953236,196416,192,0.020985137215272214,0.029229360749013722,0.6712643519664804,0.9350692834705114,0.6502792121221622,3.7415985874137943
ordinary_repeat_only,32,-1,0.0,2.18673826374888,8.90611628505964,196416,192,0.6254340788970391,0.8508684408540527,0.0030867845647056433,0.012871360961677661,-0.622347293732067,0.9936949132711916
selected_copy_bos,32,-1,4.0,3.710095302100755,40.857700166109176,196416,192,0.0022023342329096827,0.026613343933907647,0.6940897963941097,0.9445034324501952,0.6918874656160673,4.558674906494366
random_copy_bos,32,0,4.0,3.512172840674019,33.52102455647351,196416,192,0.020982271060347557,0.02923124307805362,0.6712370940173665,0.935073323858281,0.6502548201630513,3.7400894535011533
bos_repeat_only,64,-1,0.0,5.141169222685366,170.9154898070868,196416,192,0.011523829026070112,0.01497049727186095,0.7370787064234415,0.9576887724300226,0.7255548750981688,19.06979960563349
ordinary_repeat_only,64,-1,0.0,2.1893854243780977,8.929723437625594,196416,192,0.6248343664531907,0.8506863576670488,0.0035621874182349225,0.020483242563689903,-0.6212721805398663,0.996328868035622
selected_copy_bos,64,-1,4.0,5.2530690302247525,191.15202048191583,196416,192,0.0012487639808872093,0.014152382282190956,0.7527715414762497,0.9617824008067449,0.7515227878466249,21.327679129120913
random_copy_bos,64,0,4.0,5.142752552001396,171.18631966250763,196416,192,0.011523936278535984,0.01497097862981415,0.7371284033482274,0.9577006157487631,0.7256044624373317,19.100017294363326
