variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions
single_0,0,0,10.845724105834961,51314.26953125,0.034947630017995834,0.03553829714655876,1,0.031095348298549652,0.03161090239882469,0.0038522817194461823,0.0351375 0.0350628 0.0350663 0.0345239,0.0311958 0.0310852 0.0312005 0.0309,0.034947630017995834,0.03553829714655876,0.0351375 0.0350628 0.0350663 0.0345239,0.034947630017995834,0.034947630017995834,0.03553829714655876
single_0,0,1000,6.102713108062744,447.069091796875,0.03980475664138794,0.0620981827378273,1,0.02420804463326931,0.031306084245443344,0.01559671200811863,0.0484642 0.0239602 0.0423118 0.0444828,0.028584 0.0130134 0.025591 0.0296438,0.03980475664138794,0.0620981827378273,0.0484642 0.0239602 0.0423118 0.0444828,0.03980475664138794,0.03980475664138794,0.0620981827378273
single_0,0,2000,5.813074111938477,334.64630126953125,0.04653018340468407,0.08876366913318634,1,0.019683513790369034,0.030885376036167145,0.026846669614315033,0.0583018 0.0218434 0.047011 0.0589645,0.0284839 0.0105907 0.0149333 0.0247262,0.04653018340468407,0.08876366913318634,0.0583018 0.0218434 0.047011 0.0589645,0.04653018340468407,0.04653018340468407,0.08876366913318634
single_0,0,3000,5.737628936767578,310.3277282714844,0.05407736822962761,0.09884661436080933,1,0.017563652247190475,0.03061312809586525,0.036513715982437134,0.0744718 0.0229586 0.0473819 0.0714972,0.0268027 0.0104713 0.0125309 0.0204497,0.05407736822962761,0.09884661436080933,0.0744718 0.0229586 0.0473819 0.0714972,0.05407736822962761,0.05407736822962761,0.09884661436080933
single_0,0,4000,5.733407020568848,309.0202941894531,0.06463641673326492,0.1284950077533722,1,0.01633671671152115,0.030359504744410515,0.048299700021743774,0.0897419 0.0204836 0.0570752 0.091245,0.0257148 0.00994844 0.0099517 0.019732,0.06463641673326492,0.1284950077533722,0.0897419 0.0204836 0.0570752 0.091245,0.06463641673326492,0.06463641673326492,0.1284950077533722
single_0,0,5000,5.783397674560547,324.861083984375,0.06908752024173737,0.18615809082984924,1,0.015875302255153656,0.030376097187399864,0.05321221798658371,0.0978581 0.0188329 0.0464532 0.113206,0.0247 0.00958701 0.010671 0.0185432,0.06908752024173737,0.18615809082984924,0.0978581 0.0188329 0.0464532 0.113206,0.06908752024173737,0.06908752024173737,0.18615809082984924
single_0,0,6000,5.861893653869629,351.3889465332031,0.07519347220659256,0.20842158794403076,1,0.015256074257194996,0.0298180989921093,0.059937397949397564,0.10679 0.0213068 0.0497898 0.122887,0.0234444 0.0102277 0.010556 0.0167962,0.07519347220659256,0.20842158794403076,0.10679 0.0213068 0.0497898 0.122887,0.07519347220659256,0.07519347220659256,0.20842158794403076
single_0,0,7000,5.9843645095825195,397.1700439453125,0.07901639491319656,0.24698497354984283,1,0.014594964683055878,0.029538912698626518,0.06442143023014069,0.112229 0.0207058 0.048222 0.134909,0.0226323 0.00976325 0.00950858 0.0164757,0.07901639491319656,0.24698497354984283,0.112229 0.0207058 0.048222 0.134909,0.07901639491319656,0.07901639491319656,0.24698497354984283
single_0,0,8000,6.084062576293945,438.8082580566406,0.08134368062019348,0.23784324526786804,1,0.014406521804630756,0.028951264917850494,0.06693715881556273,0.11714 0.0202536 0.0508332 0.137148,0.0217449 0.00995953 0.00983448 0.0160872,0.08134368062019348,0.23784324526786804,0.11714 0.0202536 0.0508332 0.137148,0.08134368062019348,0.08134368062019348,0.23784324526786804
single_0,0,9000,6.168376445770264,477.410400390625,0.08181627094745636,0.21999740600585938,1,0.01431635208427906,0.02851891703903675,0.0674999188631773,0.122512 0.0208588 0.0537573 0.130137,0.020808 0.00967648 0.00961718 0.0171637,0.08181627094745636,0.21999740600585938,0.122512 0.0208588 0.0537573 0.130137,0.08181627094745636,0.08181627094745636,0.21999740600585938
single_0,0,10000,6.30152702331543,545.4041748046875,0.08324120193719864,0.23247848451137543,1,0.013843405991792679,0.028261959552764893,0.06939779594540596,0.124447 0.0224031 0.0532796 0.132835,0.0203933 0.00912892 0.00930956 0.0165419,0.08324120193719864,0.23247848451137543,0.124447 0.0224031 0.0532796 0.132835,0.08324120193719864,0.08324120193719864,0.23247848451137543
