variant,bos_positions,step,loss,ppl,pos0_attention_mean,pos0_attention_max_head,control_position,control_attention_mean,control_attention_max_head,pos0_minus_control_attention,pos0_attention_by_layer,control_attention_by_layer,bos_pos0_attention_mean,bos_pos0_attention_max_head,bos_pos0_attention_by_layer,bos_attention_sum_mean,bos_attention_max_position_mean,bos_attention_max_head_over_positions,seed,bos_pos8_attention_mean,bos_pos8_attention_max_head,bos_pos8_attention_by_layer,bos_pos32_attention_mean,bos_pos32_attention_max_head,bos_pos32_attention_by_layer
single_0,0,10000,6.292934417724609,540.7377319335938,0.08193451166152954,0.2366788685321808,1,0.013050604611635208,0.02905801497399807,0.06888390704989433,0.111472 0.0219839 0.0419399 0.152342,0.0188338 0.00868679 0.0098778 0.014804,0.08193451166152954,0.2366788685321808,0.111472 0.0219839 0.0419399 0.152342,0.08193451166152954,0.08193451166152954,0.2366788685321808,0,,,,,,
no_bos,none,10000,6.259572505950928,522.995361328125,0.024553339928388596,0.051365744322538376,1,0.015397107228636742,0.03287952393293381,0.009156232699751854,0.0405353 0.0166296 0.0155078 0.0255407,0.0245953 0.00974345 0.00923068 0.018019,,,,0.0,nan,nan,0,,,,,,
single_8,8,10000,6.212745189666748,499.06939697265625,0.02229198068380356,0.051382120698690414,1,0.017587104812264442,0.03509097546339035,0.004704875871539116,0.0364815 0.0149107 0.01578 0.0219956,0.0284179 0.0116241 0.0122585 0.018048,,,,0.01126627903431654,0.01126627903431654,0.047323934733867645,0,0.01126627903431654,0.047323934733867645,0.0299319 0.00135086 0.00359683 0.0101855,,,
single_32,32,10000,6.213384628295898,499.3886413574219,0.021878359839320183,0.040193501859903336,1,0.017605353146791458,0.029097218066453934,0.004273006692528725,0.0351717 0.0125672 0.0162549 0.0235196,0.0267917 0.0117824 0.014076 0.0177713,,,,0.0065268538892269135,0.0065268538892269135,0.02155662514269352,0,,,,0.0065268538892269135,0.02155662514269352,0.0148525 0.000383799 0.00348728 0.00738386
"duplicate_0,8",0 8,10000,6.217719554901123,501.5581359863281,0.08840923011302948,0.2787139117717743,1,0.01400727778673172,0.022587070241570473,0.07440195232629776,0.107055 0.0200585 0.0547343 0.171789,0.0187553 0.00796735 0.0104852 0.0188213,0.08840923011302948,0.2787139117717743,0.107055 0.0200585 0.0547343 0.171789,0.10181541554629803,0.08840923011302948,0.2787139117717743,0,0.013406185433268547,0.05881274864077568,0.0412355 0.000743726 0.00334032 0.00830523,,,
"duplicate_0,32",0 32,10000,6.233293533325195,509.4305419921875,0.07642745226621628,0.2687470018863678,1,0.013194505125284195,0.02396814525127411,0.06323294714093208,0.113433 0.0218985 0.0345429 0.135836,0.0183533 0.0091914 0.00927541 0.0159579,0.07642745226621628,0.2687470018863678,0.113433 0.0218985 0.0345429 0.135836,0.08366251504048705,0.07642745226621628,0.2687470018863678,0,,,,0.007235062774270773,0.03119850717484951,0.0204345 0.000441877 0.0017766 0.00628726
single_0,0,10000,6.296212673187256,542.5133056640625,0.08377332240343094,0.2532556653022766,1,0.01277841068804264,0.0270367581397295,0.0709949117153883,0.128626 0.0207618 0.0524735 0.133232,0.0183342 0.00842407 0.00952293 0.0148324,0.08377332240343094,0.2532556653022766,0.128626 0.0207618 0.0524735 0.133232,0.08377332240343094,0.08377332240343094,0.2532556653022766,1,,,,,,
